Time (s)	O2 conc. (ppm)
0.13	1.948E+05	21.0
0.69	1.948E+05	21.0
2.96	1.948E+05	21.0
3.29	1.948E+05	21.0
3.58	1.947E+05	21.0
3.87	1.948E+05	21.0
4.15	1.948E+05	21.0
4.47	1.948E+05	21.0
4.75	1.948E+05	21.0
5.03	1.948E+05	21.0
5.32	1.948E+05	21.0
5.60	1.948E+05	21.0
5.89	1.948E+05	21.0
6.18	1.948E+05	21.0
6.46	1.948E+05	21.0
6.78	1.948E+05	21.0
7.06	1.948E+05	21.0
7.35	1.947E+05	21.0
7.66	1.947E+05	21.0
7.97	1.948E+05	21.0
8.26	1.948E+05	21.0
8.54	1.947E+05	21.0
8.80	1.947E+05	21.0
9.09	1.948E+05	21.0
9.37	1.947E+05	21.0
9.63	1.947E+05	21.0
9.91	1.947E+05	21.0
10.23	1.948E+05	21.0
10.52	1.947E+05	21.0
10.80	1.948E+05	21.0
11.09	1.947E+05	21.0
11.38	1.948E+05	21.0
11.67	1.947E+05	21.0
11.95	1.948E+05	21.0
12.24	1.947E+05	21.0
12.55	1.947E+05	21.0
12.83	1.948E+05	21.0
13.12	1.948E+05	21.0
13.40	1.948E+05	21.0
13.74	1.948E+05	21.0
14.03	1.948E+05	21.0
14.31	1.948E+05	21.0
14.60	1.949E+05	21.0
14.91	1.949E+05	21.0
15.22	1.949E+05	21.0
15.51	1.949E+05	21.0
15.79	1.950E+05	21.0
16.10	1.951E+05	21.0
16.39	1.951E+05	21.0
16.68	1.951E+05	21.0
16.97	1.952E+05	21.0
17.28	1.953E+05	21.0
17.57	1.955E+05	21.0
17.85	1.956E+05	21.0
18.14	1.957E+05	21.0
18.45	1.958E+05	21.0
18.76	1.959E+05	21.0
19.05	1.961E+05	21.0
19.34	1.962E+05	21.0
19.65	1.964E+05	21.0
19.94	1.966E+05	21.0
20.22	1.967E+05	21.0
20.54	1.970E+05	21.0
20.85	1.972E+05	21.0
21.13	1.974E+05	21.0
21.42	1.976E+05	21.0
21.71	1.978E+05	21.0
22.03	1.980E+05	21.0
22.31	1.982E+05	21.0
22.60	1.985E+05	21.0
22.91	1.987E+05	21.0
23.22	1.990E+05	21.0
23.51	1.992E+05	21.0
23.79	1.995E+05	21.0
24.08	1.997E+05	21.0
24.40	2.000E+05	21.0
24.68	2.002E+05	21.0
24.97	2.005E+05	21.0
25.25	2.007E+05	21.0
25.57	2.010E+05	21.0
25.85	2.012E+05	21.0
26.14	2.015E+05	21.0
26.43	2.017E+05	21.0
26.74	2.020E+05	21.0
27.02	2.022E+05	21.0
27.31	2.025E+05	21.0
27.60	2.027E+05	21.0
27.91	2.030E+05	21.0
28.20	2.032E+05	21.0
28.49	2.035E+05	21.0
28.77	2.037E+05	21.0
29.11	2.040E+05	21.0
29.40	2.042E+05	21.0
29.69	2.045E+05	21.0
29.98	2.048E+05	21.0
30.29	2.050E+05	21.0
30.60	2.052E+05	21.0
30.89	2.055E+05	21.0
31.17	2.057E+05	21.0
31.51	2.060E+05	21.0
31.80	2.062E+05	21.0
32.11	2.064E+05	21.0
32.40	2.066E+05	21.0
32.72	2.069E+05	21.0
33.00	2.071E+05	21.0
33.28	2.073E+05	21.0
33.57	2.075E+05	21.0
33.91	2.077E+05	21.0
34.19	2.079E+05	21.0
34.48	2.082E+05	21.0
34.77	2.083E+05	21.0
35.09	2.086E+05	21.0
