Time (s)	O2 conc. (ppm)
0.11	1.922E+05	21.0
0.66	1.922E+05	21.0
2.96	1.922E+05	21.0
3.25	1.922E+05	21.0
3.53	1.922E+05	21.0
3.82	1.922E+05	21.0
4.11	1.922E+05	21.0
4.39	1.922E+05	21.0
4.68	1.922E+05	21.0
4.97	1.921E+05	21.0
5.25	1.921E+05	21.0
5.54	1.922E+05	21.0
5.82	1.922E+05	21.0
6.11	1.922E+05	21.0
6.39	1.922E+05	21.0
6.68	1.922E+05	21.0
6.97	1.922E+05	21.0
7.28	1.922E+05	21.0
7.57	1.921E+05	21.0
7.88	1.922E+05	21.0
8.17	1.922E+05	21.0
8.48	1.922E+05	21.0
8.76	1.922E+05	21.0
9.05	1.922E+05	21.0
9.33	1.922E+05	21.0
9.62	1.922E+05	21.0
9.88	1.922E+05	21.0
10.17	1.922E+05	21.0
10.45	1.922E+05	21.0
10.74	1.921E+05	21.0
11.02	1.921E+05	21.0
11.31	1.921E+05	21.0
11.62	1.921E+05	21.0
11.90	1.921E+05	21.0
12.19	1.921E+05	21.0
12.48	1.922E+05	21.0
12.76	1.922E+05	21.0
13.05	1.921E+05	21.0
13.34	1.922E+05	21.0
13.65	1.922E+05	21.0
13.94	1.922E+05	21.0
14.22	1.922E+05	21.0
14.53	1.922E+05	21.0
14.84	1.922E+05	21.0
15.14	1.922E+05	21.0
15.42	1.923E+05	21.0
15.71	1.923E+05	21.0
15.99	1.924E+05	21.0
16.31	1.925E+05	21.0
16.59	1.925E+05	21.0
16.87	1.926E+05	21.0
17.16	1.927E+05	21.0
17.48	1.928E+05	21.0
17.80	1.929E+05	21.0
18.08	1.930E+05	21.0
18.40	1.932E+05	21.0
18.68	1.933E+05	21.0
18.97	1.935E+05	21.0
19.25	1.936E+05	21.0
19.56	1.938E+05	21.0
19.85	1.940E+05	21.0
20.14	1.942E+05	21.0
20.43	1.944E+05	21.0
20.74	1.947E+05	21.0
21.03	1.949E+05	21.0
21.34	1.951E+05	21.0
21.62	1.954E+05	21.0
21.91	1.956E+05	21.0
22.20	1.959E+05	21.0
22.51	1.961E+05	21.0
22.80	1.964E+05	21.0
23.12	1.967E+05	21.0
23.40	1.970E+05	21.0
23.69	1.973E+05	21.0
23.98	1.975E+05	21.0
24.29	1.979E+05	21.0
24.60	1.981E+05	21.0
24.89	1.984E+05	21.0
25.18	1.987E+05	21.0
25.50	1.991E+05	21.0
25.78	1.994E+05	21.0
26.07	1.997E+05	21.0
26.38	2.000E+05	21.0
26.69	2.003E+05	21.0
27.01	2.007E+05	21.0
27.29	2.009E+05	21.0
27.58	2.012E+05	21.0
27.89	2.016E+05	21.0
28.18	2.019E+05	21.0
28.47	2.022E+05	21.0
28.78	2.025E+05	21.0
29.12	2.028E+05	21.0
29.41	2.031E+05	21.0
29.72	2.034E+05	21.0
30.01	2.037E+05	21.0
30.32	2.040E+05	21.0
30.61	2.043E+05	21.0
30.93	2.046E+05	21.0
31.22	2.049E+05	21.0
31.53	2.052E+05	21.0
31.84	2.055E+05	21.0
32.16	2.058E+05	21.0
32.47	2.061E+05	21.0
32.78	2.064E+05	21.0
33.10	2.067E+05	21.0
33.42	2.070E+05	21.0
33.73	2.073E+05	21.0
34.07	2.076E+05	21.0
34.38	2.079E+05	21.0
34.70	2.082E+05	21.0
35.01	2.085E+05	21.0
35.32	2.088E+05	21.0
35.64	2.091E+05	21.0
35.95	2.093E+05	21.0
36.27	2.095E+05	21.0
36.61	2.098E+05	21.0
36.93	2.101E+05	21.0
37.24	2.104E+05	21.0
37.55	2.106E+05	21.0
37.89	2.109E+05	21.0
38.20	2.111E+05	21.0
38.52	2.113E+05	21.0
38.84	2.116E+05	21.0
39.15	2.118E+05	21.0
39.46	2.121E+05	21.0
39.77	2.123E+05	21.0
40.09	2.124E+05	21.0
40.40	2.127E+05	21.0
40.72	2.129E+05	21.0
41.00	2.131E+05	21.0
41.30	2.133E+05	21.0
41.61	2.135E+05	21.0
41.92	2.136E+05	21.0
42.24	2.139E+05	21.0
42.55	2.141E+05	21.0
42.89	2.142E+05	21.0
43.20	2.144E+05	21.0
43.51	2.146E+05	21.0
43.86	2.147E+05	21.0
44.17	2.149E+05	21.0
44.46	2.150E+05	21.0
44.77	2.152E+05	21.0
45.09	2.153E+05	21.0
