Time (s)	O2 conc. (ppm)
0.13	1.901E+05	21.0
0.68	1.902E+05	21.0
1.99	1.902E+05	21.0
2.29	1.902E+05	21.0
2.58	1.905E+05	21.0
2.87	1.906E+05	21.0
3.15	1.907E+05	21.0
3.46	1.907E+05	21.0
3.75	1.907E+05	21.0
4.06	1.908E+05	21.0
4.37	1.908E+05	21.0
4.68	1.909E+05	21.0
4.97	1.909E+05	21.0
5.26	1.910E+05	21.0
5.55	1.910E+05	21.0
5.86	1.911E+05	21.0
6.14	1.911E+05	21.0
6.45	1.911E+05	21.0
6.74	1.912E+05	21.0
7.05	1.912E+05	21.0
7.34	1.913E+05	21.0
7.63	1.913E+05	21.0
7.92	1.914E+05	21.0
8.23	1.914E+05	21.0
8.52	1.914E+05	21.0
8.80	1.914E+05	21.0
9.08	1.915E+05	21.0
9.37	1.916E+05	21.0
9.66	1.916E+05	21.0
9.94	1.916E+05	21.0
10.24	1.917E+05	21.0
10.55	1.917E+05	21.0
10.83	1.918E+05	21.0
11.15	1.918E+05	21.0
11.43	1.918E+05	21.0
11.74	1.918E+05	21.0
12.03	1.919E+05	21.0
12.31	1.919E+05	21.0
12.62	1.920E+05	21.0
12.94	1.920E+05	21.0
13.23	1.921E+05	21.0
13.51	1.921E+05	21.0
13.83	1.921E+05	21.0
14.13	1.922E+05	21.0
14.44	1.923E+05	21.0
14.73	1.923E+05	21.0
15.04	1.924E+05	21.0
15.35	1.925E+05	21.0
15.65	1.925E+05	21.0
15.96	1.927E+05	21.0
16.27	1.928E+05	21.0
16.58	1.929E+05	21.0
16.90	1.930E+05	21.0
17.21	1.932E+05	21.0
17.50	1.934E+05	21.0
17.81	1.936E+05	21.0
18.10	1.938E+05	21.0
18.39	1.939E+05	21.0
18.70	1.942E+05	21.0
19.01	1.944E+05	21.0
19.30	1.946E+05	21.0
19.61	1.949E+05	21.0
19.90	1.951E+05	21.0
20.21	1.954E+05	21.0
20.52	1.957E+05	21.0
20.84	1.960E+05	21.0
21.13	1.962E+05	21.0
21.44	1.965E+05	21.0
21.73	1.968E+05	21.0
22.04	1.971E+05	21.0
22.33	1.974E+05	21.0
22.64	1.977E+05	21.0
22.95	1.981E+05	21.0
23.22	1.983E+05	21.0
23.50	1.986E+05	21.0
23.82	1.989E+05	21.0
24.13	1.993E+05	21.0
24.41	1.996E+05	21.0
24.70	2.000E+05	21.0
25.01	2.003E+05	21.0
