Time (s)	O2 conc. (ppm)
0.13	1.960E+05	21.0
0.71	1.960E+05	21.0
1.98	1.960E+05	21.0
2.29	1.960E+05	21.0
2.58	1.959E+05	21.0
2.86	1.959E+05	21.0
3.15	1.959E+05	21.0
3.46	1.959E+05	21.0
3.74	1.959E+05	21.0
4.02	1.959E+05	21.0
4.31	1.958E+05	21.0
4.62	1.959E+05	21.0
4.91	1.958E+05	21.0
5.20	1.958E+05	21.0
5.48	1.958E+05	21.0
5.77	1.958E+05	21.0
6.08	1.958E+05	21.0
6.36	1.958E+05	21.0
6.65	1.957E+05	21.0
6.93	1.958E+05	21.0
7.22	1.958E+05	21.0
7.50	1.958E+05	21.0
7.79	1.958E+05	21.0
8.10	1.958E+05	21.0
8.39	1.957E+05	21.0
8.67	1.957E+05	21.0
8.96	1.957E+05	21.0
9.24	1.957E+05	21.0
9.53	1.957E+05	21.0
9.81	1.957E+05	21.0
10.10	1.957E+05	21.0
10.42	1.957E+05	21.0
10.70	1.957E+05	21.0
10.99	1.957E+05	21.0
11.27	1.957E+05	21.0
11.55	1.957E+05	21.0
11.87	1.956E+05	21.0
12.15	1.956E+05	21.0
12.43	1.956E+05	21.0
12.74	1.956E+05	21.0
13.06	1.956E+05	21.0
13.35	1.956E+05	21.0
13.63	1.956E+05	21.0
13.94	1.956E+05	21.0
14.23	1.956E+05	21.0
14.51	1.957E+05	21.0
14.80	1.957E+05	21.0
15.11	1.957E+05	21.0
15.40	1.957E+05	21.0
15.69	1.958E+05	21.0
15.97	1.959E+05	21.0
16.26	1.959E+05	21.0
16.55	1.959E+05	21.0
16.86	1.960E+05	21.0
17.14	1.961E+05	21.0
17.46	1.962E+05	21.0
17.74	1.963E+05	21.0
18.05	1.964E+05	21.0
18.34	1.966E+05	21.0
18.66	1.967E+05	21.0
18.94	1.969E+05	21.0
19.23	1.970E+05	21.0
19.51	1.972E+05	21.0
19.83	1.973E+05	21.0
20.11	1.975E+05	21.0
20.42	1.977E+05	21.0
20.74	1.979E+05	21.0
21.05	1.981E+05	21.0
21.34	1.984E+05	21.0
21.63	1.986E+05	21.0
21.94	1.988E+05	21.0
22.23	1.990E+05	21.0
22.51	1.992E+05	21.0
22.80	1.995E+05	21.0
23.08	1.997E+05	21.0
23.40	1.999E+05	21.0
23.71	2.002E+05	21.0
24.00	2.004E+05	21.0
24.29	2.007E+05	21.0
24.57	2.009E+05	21.0
24.86	2.011E+05	21.0
25.14	2.013E+05	21.0
25.43	2.016E+05	21.0
25.74	2.018E+05	21.0
26.04	2.021E+05	21.0
26.35	2.023E+05	21.0
26.64	2.026E+05	21.0
26.95	2.028E+05	21.0
27.26	2.030E+05	21.0
27.55	2.033E+05	21.0
27.83	2.035E+05	21.0
28.12	2.037E+05	21.0
28.43	2.040E+05	21.0
28.72	2.042E+05	21.0
29.03	2.044E+05	21.0
29.35	2.047E+05	21.0
29.66	2.049E+05	21.0
29.94	2.052E+05	21.0
30.26	2.054E+05	21.0
30.57	2.056E+05	21.0
30.88	2.059E+05	21.0
31.20	2.061E+05	21.0
31.51	2.063E+05	21.0
31.82	2.066E+05	21.0
32.14	2.068E+05	21.0
32.45	2.070E+05	21.0
32.76	2.072E+05	21.0
33.08	2.075E+05	21.0
33.39	2.077E+05	21.0
33.70	2.078E+05	21.0
34.02	2.081E+05	21.0
34.34	2.083E+05	21.0
34.65	2.085E+05	21.0
34.96	2.087E+05	21.0
35.27	2.089E+05	21.0
35.59	2.091E+05	21.0
35.90	2.092E+05	21.0
36.21	2.094E+05	21.0
36.53	2.097E+05	21.0
36.84	2.098E+05	21.0
37.16	2.100E+05	21.0
37.47	2.101E+05	21.0
37.78	2.103E+05	21.0
38.12	2.105E+05	21.0
38.43	2.106E+05	21.0
38.77	2.108E+05	21.0
39.09	2.110E+05	21.0
39.41	2.111E+05	21.0
39.72	2.112E+05	21.0
40.03	2.114E+05	21.0
40.35	2.115E+05	21.0
40.66	2.117E+05	21.0
40.97	2.118E+05	21.0
41.28	2.120E+05	21.0
41.60	2.121E+05	21.0
41.92	2.122E+05	21.0
42.23	2.123E+05	21.0
42.54	2.124E+05	21.0
42.85	2.125E+05	21.0
43.17	2.126E+05	21.0
43.48	2.127E+05	21.0
43.79	2.128E+05	21.0
44.10	2.129E+05	21.0
44.42	2.130E+05	21.0
44.74	2.130E+05	21.0
45.05	2.131E+05	21.0
45.36	2.132E+05	21.0
45.68	2.133E+05	21.0
45.99	2.133E+05	21.0
46.30	2.134E+05	21.0
46.61	2.135E+05	21.0
46.93	2.135E+05	21.0
47.25	2.136E+05	21.0
47.56	2.136E+05	21.0
47.87	2.137E+05	21.0
48.21	2.137E+05	21.0
48.52	2.138E+05	21.0
48.83	2.138E+05	21.0
49.14	2.138E+05	21.0
49.48	2.139E+05	21.0
49.77	2.139E+05	21.0
50.09	2.139E+05	21.0
50.40	2.139E+05	21.0
50.74	2.140E+05	21.0
51.05	2.140E+05	21.0
51.36	2.140E+05	21.0
51.67	2.140E+05	21.0
52.01	2.140E+05	21.0
52.33	2.140E+05	21.0
52.64	2.140E+05	21.0
52.95	2.140E+05	21.0
53.26	2.140E+05	21.0
53.60	2.140E+05	21.0
53.91	2.140E+05	21.0
54.23	2.139E+05	21.0
54.54	2.139E+05	21.0
54.86	2.139E+05	21.0
55.17	2.139E+05	21.0
55.48	2.139E+05	21.0
55.79	2.139E+05	21.0
56.10	2.138E+05	21.0
56.44	2.138E+05	21.0
56.75	2.138E+05	21.0
57.06	2.137E+05	21.0
57.39	2.137E+05	21.0
57.72	2.136E+05	21.0
58.06	2.136E+05	21.0
58.43	2.135E+05	21.0
58.74	2.135E+05	21.0
59.05	2.135E+05	21.0
59.36	2.134E+05	21.0
59.70	2.134E+05	21.0
60.02	2.133E+05	21.0
60.33	2.132E+05	21.0
60.64	2.132E+05	21.0
60.98	2.132E+05	21.0
61.32	2.131E+05	21.0
61.63	2.130E+05	21.0
61.94	2.130E+05	21.0
62.28	2.129E+05	21.0
62.60	2.129E+05	21.0
62.91	2.128E+05	21.0
63.23	2.128E+05	21.0
63.54	2.127E+05	21.0
63.85	2.127E+05	21.0
64.16	2.126E+05	21.0
64.47	2.125E+05	21.0
64.81	2.125E+05	21.0
65.13	2.124E+05	21.0
65.44	2.124E+05	21.0
65.76	2.123E+05	21.0
66.10	2.123E+05	21.0
66.41	2.122E+05	21.0
66.72	2.122E+05	21.0
67.03	2.121E+05	21.0
67.37	2.120E+05	21.0
67.68	2.120E+05	21.0
68.03	2.120E+05	21.0
68.37	2.119E+05	21.0
68.68	2.118E+05	21.0
68.99	2.117E+05	21.0
69.33	2.117E+05	21.0
69.67	2.116E+05	21.0
69.98	2.115E+05	21.0
70.30	2.115E+05	21.0
70.64	2.115E+05	21.0
70.98	2.114E+05	21.0
71.29	2.113E+05	21.0
71.60	2.112E+05	21.0
71.94	2.112E+05	21.0
72.28	2.111E+05	21.0
72.59	2.111E+05	21.0
72.93	2.110E+05	21.0
73.28	2.110E+05	21.0
73.59	2.109E+05	21.0
73.96	2.109E+05	21.0
74.29	2.108E+05	21.0
74.61	2.108E+05	21.0
74.94	2.107E+05	21.0
75.26	2.107E+05	21.0
75.59	2.106E+05	21.0
75.91	2.106E+05	21.0
76.26	2.105E+05	21.0
76.59	2.105E+05	21.0
76.93	2.104E+05	21.0
77.24	2.104E+05	21.0
77.58	2.104E+05	21.0
77.92	2.103E+05	21.0
78.26	2.103E+05	21.0
78.58	2.102E+05	21.0
78.89	2.102E+05	21.0
79.23	2.102E+05	21.0
79.57	2.102E+05	21.0
79.91	2.101E+05	21.0
80.22	2.101E+05	21.0
80.55	2.100E+05	21.0
80.90	2.100E+05	21.0
81.27	2.100E+05	21.0
81.61	2.099E+05	21.0
81.94	2.099E+05	21.0
82.31	2.099E+05	21.0
82.62	2.099E+05	21.0
82.93	2.098E+05	21.0
83.24	2.098E+05	21.0
83.59	2.097E+05	21.0
83.93	2.097E+05	21.0
84.27	2.097E+05	21.0
84.60	2.097E+05	21.0
84.94	2.097E+05	21.0
85.28	2.096E+05	21.0
85.59	2.096E+05	21.0
85.93	2.096E+05	21.0
86.25	2.096E+05	21.0
86.59	2.096E+05	21.0
86.92	2.096E+05	21.0
87.26	2.096E+05	21.0
87.57	2.095E+05	21.0
87.91	2.095E+05	21.0
88.25	2.095E+05	21.0
88.59	2.095E+05	21.0
88.94	2.095E+05	21.0
89.27	2.095E+05	21.0
89.61	2.095E+05	21.0
