Time (s)	O2 conc. (ppm)
0.10	1.921E+05	21.0
0.65	1.921E+05	21.0
1.98	1.921E+05	21.0
2.29	1.921E+05	21.0
2.57	1.921E+05	21.0
2.83	1.921E+05	21.0
3.12	1.921E+05	21.0
3.42	1.921E+05	21.0
3.72	1.921E+05	21.0
4.00	1.921E+05	21.0
4.29	1.921E+05	21.0
4.60	1.921E+05	21.0
4.88	1.921E+05	21.0
5.17	1.921E+05	21.0
5.45	1.921E+05	21.0
5.76	1.921E+05	21.0
6.05	1.921E+05	21.0
6.34	1.921E+05	21.0
6.62	1.921E+05	21.0
6.91	1.921E+05	21.0
7.19	1.921E+05	21.0
7.47	1.921E+05	21.0
7.76	1.921E+05	21.0
8.07	1.921E+05	21.0
8.35	1.921E+05	21.0
8.64	1.921E+05	21.0
8.93	1.921E+05	21.0
9.21	1.921E+05	21.0
9.52	1.921E+05	21.0
9.81	1.921E+05	21.0
10.09	1.921E+05	21.0
10.38	1.921E+05	21.0
10.67	1.921E+05	21.0
10.95	1.921E+05	21.0
11.26	1.921E+05	21.0
11.55	1.921E+05	21.0
11.84	1.921E+05	21.0
12.12	1.921E+05	21.0
12.41	1.921E+05	21.0
12.72	1.921E+05	21.0
13.00	1.921E+05	21.0
13.29	1.921E+05	21.0
13.57	1.921E+05	21.0
13.88	1.921E+05	21.0
14.18	1.922E+05	21.0
14.46	1.922E+05	21.0
14.77	1.922E+05	21.0
15.09	1.923E+05	21.0
15.37	1.923E+05	21.0
15.66	1.924E+05	21.0
15.94	1.924E+05	21.0
16.23	1.925E+05	21.0
16.51	1.926E+05	21.0
16.81	1.927E+05	21.0
17.12	1.928E+05	21.0
17.40	1.929E+05	21.0
17.69	1.930E+05	21.0
17.97	1.931E+05	21.0
18.26	1.933E+05	21.0
18.57	1.935E+05	21.0
18.86	1.936E+05	21.0
19.14	1.938E+05	21.0
19.44	1.940E+05	21.0
19.75	1.942E+05	21.0
20.04	1.944E+05	21.0
20.32	1.947E+05	21.0
20.64	1.948E+05	21.0
20.95	1.951E+05	21.0
21.24	1.953E+05	21.0
21.55	1.956E+05	21.0
21.84	1.959E+05	21.0
22.16	1.961E+05	21.0
22.47	1.964E+05	21.0
22.76	1.966E+05	21.0
23.07	1.969E+05	21.0
23.36	1.972E+05	21.0
23.64	1.975E+05	21.0
23.93	1.977E+05	21.0
24.21	1.979E+05	21.0
24.53	1.983E+05	21.0
24.82	1.985E+05	21.0
25.10	1.988E+05	21.0
25.39	1.990E+05	21.0
25.70	1.993E+05	21.0
25.99	1.996E+05	21.0
26.27	1.999E+05	21.0
26.56	2.001E+05	21.0
26.87	2.004E+05	21.0
27.16	2.007E+05	21.0
27.45	2.009E+05	21.0
27.74	2.012E+05	21.0
28.05	2.015E+05	21.0
28.34	2.018E+05	21.0
28.63	2.020E+05	21.0
28.91	2.022E+05	21.0
29.23	2.025E+05	21.0
29.51	2.028E+05	21.0
29.80	2.030E+05	21.0
30.10	2.032E+05	21.0
30.41	2.035E+05	21.0
30.69	2.037E+05	21.0
30.98	2.040E+05	21.0
31.27	2.042E+05	21.0
31.61	2.044E+05	21.0
31.92	2.047E+05	21.0
32.23	2.049E+05	21.0
32.55	2.052E+05	21.0
32.87	2.054E+05	21.0
33.15	2.056E+05	21.0
33.44	2.058E+05	21.0
33.72	2.060E+05	21.0
34.03	2.063E+05	21.0
34.35	2.064E+05	21.0
34.66	2.067E+05	21.0
34.98	2.069E+05	21.0
35.29	2.071E+05	21.0
35.61	2.073E+05	21.0
35.92	2.075E+05	21.0
36.20	2.077E+05	21.0
36.52	2.079E+05	21.0
36.83	2.080E+05	21.0
37.14	2.083E+05	21.0
37.45	2.084E+05	21.0
37.78	2.086E+05	21.0
38.09	2.088E+05	21.0
