Time (s)	O2 conc. (ppm)
0.13	1.924E+05	21.0
0.66	1.923E+05	21.0
2.98	1.923E+05	21.0
3.29	1.923E+05	21.0
3.56	1.924E+05	21.0
3.84	1.924E+05	21.0
4.13	1.923E+05	21.0
4.44	1.923E+05	21.0
4.73	1.923E+05	21.0
5.01	1.924E+05	21.0
5.30	1.923E+05	21.0
5.61	1.923E+05	21.0
5.89	1.923E+05	21.0
6.19	1.924E+05	21.0
6.47	1.923E+05	21.0
6.75	1.923E+05	21.0
7.04	1.923E+05	21.0
7.32	1.923E+05	21.0
7.61	1.923E+05	21.0
7.89	1.923E+05	21.0
8.18	1.923E+05	21.0
8.46	1.923E+05	21.0
8.76	1.923E+05	21.0
9.04	1.923E+05	21.0
9.33	1.923E+05	21.0
9.61	1.923E+05	21.0
9.89	1.923E+05	21.0
10.18	1.923E+05	21.0
10.46	1.923E+05	21.0
10.75	1.923E+05	21.0
11.03	1.923E+05	21.0
11.35	1.923E+05	21.0
11.63	1.923E+05	21.0
11.92	1.923E+05	21.0
12.20	1.923E+05	21.0
12.51	1.923E+05	21.0
12.80	1.923E+05	21.0
13.08	1.923E+05	21.0
13.37	1.923E+05	21.0
13.68	1.923E+05	21.0
13.97	1.924E+05	21.0
14.25	1.923E+05	21.0
14.54	1.923E+05	21.0
14.85	1.924E+05	21.0
15.14	1.924E+05	21.0
15.42	1.925E+05	21.0
15.73	1.925E+05	21.0
16.04	1.925E+05	21.0
16.33	1.926E+05	21.0
16.62	1.927E+05	21.0
16.91	1.927E+05	21.0
17.22	1.929E+05	21.0
17.51	1.929E+05	21.0
17.80	1.930E+05	21.0
18.11	1.931E+05	21.0
18.42	1.933E+05	21.0
18.71	1.934E+05	21.0
19.00	1.936E+05	21.0
19.29	1.937E+05	21.0
19.60	1.939E+05	21.0
19.92	1.941E+05	21.0
20.20	1.943E+05	21.0
20.51	1.945E+05	21.0
20.83	1.947E+05	21.0
21.12	1.949E+05	21.0
21.40	1.952E+05	21.0
21.68	1.954E+05	21.0
21.98	1.957E+05	21.0
22.26	1.959E+05	21.0
22.55	1.961E+05	21.0
22.86	1.964E+05	21.0
23.17	1.967E+05	21.0
23.46	1.970E+05	21.0
23.75	1.972E+05	21.0
24.03	1.975E+05	21.0
24.35	1.977E+05	21.0
24.64	1.980E+05	21.0
24.93	1.983E+05	21.0
25.21	1.986E+05	21.0
25.53	1.989E+05	21.0
25.81	1.992E+05	21.0
26.10	1.995E+05	21.0
26.41	1.997E+05	21.0
26.73	2.001E+05	21.0
27.02	2.003E+05	21.0
27.31	2.006E+05	21.0
27.59	2.009E+05	21.0
27.91	2.012E+05	21.0
28.22	2.015E+05	21.0
28.51	2.018E+05	21.0
28.79	2.021E+05	21.0
29.11	2.023E+05	21.0
29.42	2.026E+05	21.0
29.71	2.029E+05	21.0
30.03	2.032E+05	21.0
30.34	2.035E+05	21.0
30.65	2.038E+05	21.0
30.97	2.041E+05	21.0
31.28	2.044E+05	21.0
31.62	2.047E+05	21.0
31.94	2.050E+05	21.0
32.25	2.052E+05	21.0
32.57	2.055E+05	21.0
32.88	2.057E+05	21.0
33.17	2.060E+05	21.0
33.48	2.063E+05	21.0
33.80	2.066E+05	21.0
34.11	2.068E+05	21.0
34.42	2.070E+05	21.0
34.71	2.073E+05	21.0
35.00	2.075E+05	21.0
35.31	2.078E+05	21.0
35.60	2.080E+05	21.0
35.89	2.082E+05	21.0
36.20	2.085E+05	21.0
36.51	2.087E+05	21.0
36.80	2.089E+05	21.0
37.09	2.091E+05	21.0
37.40	2.093E+05	21.0
37.72	2.095E+05	21.0
38.03	2.097E+05	21.0
38.32	2.100E+05	21.0
38.63	2.102E+05	21.0
38.95	2.103E+05	21.0
39.26	2.105E+05	21.0
39.57	2.107E+05	21.0
39.89	2.109E+05	21.0
40.21	2.111E+05	21.0
40.49	2.113E+05	21.0
40.78	2.114E+05	21.0
41.09	2.116E+05	21.0
41.43	2.118E+05	21.0
41.75	2.120E+05	21.0
42.06	2.121E+05	21.0
42.35	2.122E+05	21.0
42.67	2.124E+05	21.0
42.96	2.125E+05	21.0
43.27	2.127E+05	21.0
43.58	2.128E+05	21.0
43.89	2.129E+05	21.0
44.21	2.131E+05	21.0
44.49	2.132E+05	21.0
44.78	2.133E+05	21.0
45.10	2.134E+05	21.0
45.39	2.135E+05	21.0
45.67	2.136E+05	21.0
45.96	2.137E+05	21.0
46.28	2.138E+05	21.0
46.59	2.138E+05	21.0
46.90	2.139E+05	21.0
47.21	2.140E+05	21.0
47.53	2.141E+05	21.0
47.82	2.141E+05	21.0
48.10	2.142E+05	21.0
48.42	2.143E+05	21.0
48.73	2.144E+05	21.0
49.02	2.144E+05	21.0
49.33	2.144E+05	21.0
49.64	2.145E+05	21.0
49.95	2.146E+05	21.0
50.27	2.146E+05	21.0
50.56	2.146E+05	21.0
50.87	2.147E+05	21.0
51.18	2.147E+05	21.0
51.49	2.147E+05	21.0
51.81	2.148E+05	21.0
52.12	2.148E+05	21.0
52.43	2.148E+05	21.0
52.74	2.148E+05	21.0
53.06	2.148E+05	21.0
53.37	2.149E+05	21.0
53.69	2.149E+05	21.0
54.00	2.149E+05	21.0
54.31	2.149E+05	21.0
54.62	2.149E+05	21.0
54.94	2.149E+05	21.0
55.25	2.149E+05	21.0
55.58	2.149E+05	21.0
55.90	2.149E+05	21.0
56.21	2.149E+05	21.0
56.53	2.149E+05	21.0
56.84	2.149E+05	21.0
57.15	2.148E+05	21.0
57.49	2.148E+05	21.0
57.80	2.148E+05	21.0
58.11	2.147E+05	21.0
58.43	2.147E+05	21.0
58.78	2.147E+05	21.0
59.09	2.147E+05	21.0
59.40	2.146E+05	21.0
59.71	2.145E+05	21.0
60.03	2.145E+05	21.0
60.36	2.145E+05	21.0
60.67	2.144E+05	21.0
61.02	2.144E+05	21.0
61.33	2.143E+05	21.0
61.64	2.142E+05	21.0
61.96	2.142E+05	21.0
62.27	2.141E+05	21.0
62.58	2.141E+05	21.0
62.89	2.141E+05	21.0
63.21	2.140E+05	21.0
63.53	2.139E+05	21.0
63.84	2.139E+05	21.0
64.15	2.138E+05	21.0
64.46	2.138E+05	21.0
64.78	2.138E+05	21.0
65.09	2.137E+05	21.0
65.40	2.136E+05	21.0
65.71	2.135E+05	21.0
66.03	2.135E+05	21.0
66.34	2.135E+05	21.0
66.69	2.134E+05	21.0
67.00	2.133E+05	21.0
67.34	2.133E+05	21.0
67.65	2.132E+05	21.0
67.96	2.131E+05	21.0
68.27	2.130E+05	21.0
68.58	2.130E+05	21.0
68.90	2.129E+05	21.0
69.21	2.129E+05	21.0
69.53	2.128E+05	21.0
69.84	2.128E+05	21.0
70.18	2.127E+05	21.0
70.49	2.126E+05	21.0
70.80	2.125E+05	21.0
71.14	2.125E+05	21.0
71.46	2.124E+05	21.0
71.77	2.123E+05	21.0
72.11	2.123E+05	21.0
72.45	2.122E+05	21.0
72.79	2.121E+05	21.0
73.10	2.121E+05	21.0
73.41	2.120E+05	21.0
73.72	2.119E+05	21.0
74.04	2.119E+05	21.0
74.35	2.118E+05	21.0
74.69	2.118E+05	21.0
75.03	2.117E+05	21.0
75.37	2.116E+05	21.0
75.71	2.115E+05	21.0
76.05	2.115E+05	21.0
76.39	2.114E+05	21.0
76.73	2.113E+05	21.0
77.05	2.113E+05	21.0
77.39	2.112E+05	21.0
77.76	2.112E+05	21.0
78.09	2.111E+05	21.0
78.46	2.110E+05	21.0
78.80	2.110E+05	21.0
79.12	2.109E+05	21.0
79.46	2.109E+05	21.0
79.77	2.108E+05	21.0
80.13	2.108E+05	21.0
80.47	2.107E+05	21.0
80.81	2.107E+05	21.0
81.15	2.106E+05	21.0
81.49	2.105E+05	21.0
81.81	2.105E+05	21.0
82.14	2.104E+05	21.0
82.45	2.104E+05	21.0
82.79	2.104E+05	21.0
83.16	2.103E+05	21.0
83.50	2.102E+05	21.0
83.84	2.102E+05	21.0
84.17	2.102E+05	21.0
84.49	2.101E+05	21.0
84.83	2.101E+05	21.0
85.14	2.101E+05	21.0
85.48	2.100E+05	21.0
85.82	2.100E+05	21.0
86.16	2.099E+05	21.0
86.47	2.099E+05	21.0
86.81	2.099E+05	21.0
87.13	2.099E+05	21.0
87.47	2.098E+05	21.0
87.80	2.098E+05	21.0
88.17	2.097E+05	21.0
88.51	2.097E+05	21.0
88.82	2.097E+05	21.0
89.16	2.097E+05	21.0
89.50	2.097E+05	21.0
89.84	2.096E+05	21.0
90.18	2.096E+05	21.0
90.52	2.096E+05	21.0
90.86	2.096E+05	21.0
91.20	2.095E+05	21.0
91.53	2.096E+05	21.0
91.87	2.095E+05	21.0
92.19	2.095E+05	21.0
92.53	2.095E+05	21.0
92.87	2.095E+05	21.0
93.21	2.095E+05	21.0
93.54	2.095E+05	21.0
93.88	2.095E+05	21.0
94.22	2.095E+05	21.0
94.56	2.095E+05	21.0
94.90	2.095E+05	21.0
95.21	2.094E+05	21.0
95.55	2.095E+05	21.0
95.89	2.095E+05	21.0
96.23	2.094E+05	21.0
96.60	2.094E+05	21.0
96.94	2.095E+05	21.0
97.27	2.095E+05	21.0
97.62	2.095E+05	21.0
97.96	2.095E+05	21.0
98.30	2.095E+05	21.0
98.66	2.094E+05	21.0
99.03	2.095E+05	21.0
99.37	2.095E+05	21.0
99.71	2.095E+05	21.0
100.05	2.095E+05	21.0
100.39	2.095E+05	21.0
100.73	2.095E+05	21.0
101.07	2.095E+05	21.0
101.40	2.095E+05	21.0
101.77	2.095E+05	21.0
102.13	2.095E+05	21.0
102.47	2.095E+05	21.0
102.82	2.095E+05	21.0
103.18	2.096E+05	21.0
103.55	2.096E+05	21.0
103.89	2.096E+05	21.0
104.25	2.096E+05	21.0
104.62	2.096E+05	21.0
104.96	2.096E+05	21.0
105.30	2.096E+05	21.0
105.64	2.096E+05	21.0
105.98	2.097E+05	21.0
106.32	2.096E+05	21.0
106.66	2.097E+05	21.0
107.03	2.097E+05	21.0
107.39	2.097E+05	21.0
107.74	2.097E+05	21.0
108.07	2.097E+05	21.0
108.41	2.098E+05	21.0
108.78	2.098E+05	21.0
109.12	2.098E+05	21.0
109.48	2.099E+05	21.0
109.82	2.099E+05	21.0
110.16	2.099E+05	21.0
110.50	2.099E+05	21.0
110.84	2.099E+05	21.0
111.18	2.100E+05	21.0
111.52	2.100E+05	21.0
111.89	2.100E+05	21.0
112.22	2.100E+05	21.0
112.59	2.100E+05	21.0
112.94	2.101E+05	21.0
113.27	2.101E+05	21.0
113.64	2.101E+05	21.0
113.98	2.101E+05	21.0
114.31	2.101E+05	21.0
114.68	2.101E+05	21.0
115.02	2.101E+05	21.0
115.38	2.102E+05	21.0
115.73	2.102E+05	21.0
116.09	2.102E+05	21.0
116.46	2.102E+05	21.0
116.83	2.102E+05	21.0
117.19	2.102E+05	21.0
117.55	2.103E+05	21.0
117.89	2.103E+05	21.0
118.24	2.103E+05	21.0
118.58	2.103E+05	21.0
118.95	2.103E+05	21.0
119.28	2.103E+05	21.0
119.62	2.103E+05	21.0
119.99	2.104E+05	21.0
120.36	2.104E+05	21.0
120.73	2.104E+05	21.0
121.12	2.104E+05	21.0
121.46	2.104E+05	21.0
121.82	2.104E+05	21.0
122.16	2.104E+05	21.0
122.50	2.104E+05	21.0
122.86	2.104E+05	21.0
123.23	2.105E+05	21.0
123.57	2.105E+05	21.0
123.94	2.105E+05	21.0
124.30	2.105E+05	21.0
124.67	2.105E+05	21.0
125.04	2.105E+05	21.0
125.40	2.105E+05	21.0
125.79	2.105E+05	21.0
126.17	2.105E+05	21.0
126.53	2.105E+05	21.0
126.90	2.105E+05	21.0
127.26	2.105E+05	21.0
127.65	2.105E+05	21.0
128.02	2.105E+05	21.0
128.38	2.105E+05	21.0
128.73	2.105E+05	21.0
129.10	2.105E+05	21.0
129.46	2.106E+05	21.0
129.80	2.105E+05	21.0
130.17	2.105E+05	21.0
130.53	2.105E+05	21.0
130.90	2.105E+05	21.0
131.24	2.105E+05	21.0
131.61	2.105E+05	21.0
132.00	2.105E+05	21.0
132.36	2.105E+05	21.0
132.73	2.105E+05	21.0
133.10	2.106E+05	21.0
133.46	2.105E+05	21.0
133.84	2.105E+05	21.0
134.20	2.105E+05	21.0
134.57	2.105E+05	21.0
134.93	2.106E+05	21.0
135.30	2.106E+05	21.0
135.67	2.106E+05	21.0
136.03	2.106E+05	21.0
136.40	2.105E+05	21.0
136.77	2.106E+05	21.0
137.14	2.106E+05	21.0
