Time (s)	O2 conc. (ppm)
0.10	1.925E+05	21.0
0.64	1.925E+05	21.0
1.99	1.925E+05	21.0
2.33	1.925E+05	21.0
2.64	1.925E+05	21.0
2.92	1.925E+05	21.0
3.22	1.925E+05	21.0
3.50	1.925E+05	21.0
3.81	1.925E+05	21.0
4.12	1.925E+05	21.0
4.44	1.925E+05	21.0
4.72	1.925E+05	21.0
5.01	1.925E+05	21.0
5.29	1.924E+05	21.0
5.58	1.924E+05	21.0
5.87	1.925E+05	21.0
6.15	1.925E+05	21.0
6.46	1.924E+05	21.0
6.75	1.925E+05	21.0
7.03	1.925E+05	21.0
7.34	1.925E+05	21.0
7.66	1.925E+05	21.0
7.94	1.924E+05	21.0
8.28	1.924E+05	21.0
8.57	1.925E+05	21.0
8.86	1.924E+05	21.0
9.15	1.924E+05	21.0
9.43	1.925E+05	21.0
9.72	1.924E+05	21.0
10.00	1.924E+05	21.0
10.32	1.924E+05	21.0
10.60	1.924E+05	21.0
10.89	1.924E+05	21.0
11.18	1.924E+05	21.0
11.47	1.924E+05	21.0
11.75	1.924E+05	21.0
12.06	1.924E+05	21.0
12.35	1.924E+05	21.0
12.63	1.924E+05	21.0
12.94	1.924E+05	21.0
13.22	1.924E+05	21.0
13.53	1.924E+05	21.0
13.86	1.925E+05	21.0
14.14	1.925E+05	21.0
14.42	1.925E+05	21.0
14.71	1.925E+05	21.0
15.02	1.926E+05	21.0
15.33	1.926E+05	21.0
15.64	1.927E+05	21.0
15.93	1.928E+05	21.0
16.21	1.929E+05	21.0
16.53	1.930E+05	21.0
16.84	1.931E+05	21.0
17.16	1.933E+05	21.0
17.44	1.935E+05	21.0
17.75	1.936E+05	21.0
18.04	1.938E+05	21.0
18.36	1.941E+05	21.0
18.64	1.943E+05	21.0
18.93	1.946E+05	21.0
19.22	1.948E+05	21.0
19.56	1.952E+05	21.0
19.84	1.955E+05	21.0
20.16	1.958E+05	21.0
20.47	1.961E+05	21.0
20.78	1.965E+05	21.0
21.07	1.968E+05	21.0
21.39	1.973E+05	21.0
21.68	1.976E+05	21.0
21.99	1.980E+05	21.0
22.28	1.984E+05	21.0
22.59	1.988E+05	21.0
22.88	1.992E+05	21.0
23.16	1.996E+05	21.0
23.45	2.000E+05	21.0
23.76	2.004E+05	21.0
24.05	2.008E+05	21.0
24.34	2.012E+05	21.0
24.63	2.016E+05	21.0
24.94	2.020E+05	21.0
25.25	2.024E+05	21.0
25.57	2.028E+05	21.0
25.85	2.032E+05	21.0
26.20	2.037E+05	21.0
26.48	2.041E+05	21.0
26.78	2.045E+05	21.0
27.09	2.049E+05	21.0
27.40	2.053E+05	21.0
27.69	2.057E+05	21.0
28.01	2.061E+05	21.0
28.32	2.065E+05	21.0
28.63	2.069E+05	21.0
28.92	2.072E+05	21.0
29.21	2.076E+05	21.0
29.50	2.080E+05	21.0
29.81	2.084E+05	21.0
30.10	2.087E+05	21.0
30.39	2.090E+05	21.0
30.67	2.094E+05	21.0
30.99	2.097E+05	21.0
31.30	2.101E+05	21.0
31.62	2.104E+05	21.0
31.91	2.107E+05	21.0
32.22	2.111E+05	21.0
32.51	2.114E+05	21.0
32.82	2.117E+05	21.0
33.14	2.120E+05	21.0
33.45	2.123E+05	21.0
33.76	2.126E+05	21.0
34.05	2.128E+05	21.0
34.36	2.131E+05	21.0
34.68	2.134E+05	21.0
34.99	2.137E+05	21.0
35.28	2.139E+05	21.0
35.56	2.142E+05	21.0
35.88	2.144E+05	21.0
36.17	2.146E+05	21.0
36.48	2.149E+05	21.0
36.76	2.150E+05	21.0
37.08	2.153E+05	21.0
37.38	2.155E+05	21.0
37.66	2.157E+05	21.0
37.94	2.158E+05	21.0
38.29	2.160E+05	21.0
38.57	2.161E+05	21.0
38.89	2.163E+05	21.0
39.20	2.165E+05	21.0
39.51	2.166E+05	21.0
39.81	2.167E+05	21.0
40.12	2.168E+05	21.0
40.46	2.170E+05	21.0
40.77	2.170E+05	21.0
41.06	2.171E+05	21.0
41.37	2.172E+05	21.0
41.69	2.173E+05	21.0
42.00	2.173E+05	21.0
42.29	2.174E+05	21.0
42.58	2.174E+05	21.0
42.86	2.174E+05	21.0
43.20	2.175E+05	21.0
43.51	2.175E+05	21.0
43.80	2.175E+05	21.0
44.08	2.175E+05	21.0
44.39	2.175E+05	21.0
44.68	2.174E+05	21.0
44.97	2.174E+05	21.0
45.28	2.174E+05	21.0
45.60	2.174E+05	21.0
45.88	2.173E+05	21.0
46.17	2.172E+05	21.0
46.45	2.171E+05	21.0
46.76	2.171E+05	21.0
47.05	2.170E+05	21.0
