Time (s)	O2 conc. (ppm)
0.10	1.921E+05	21.0
0.63	1.921E+05	21.0
1.99	1.921E+05	21.0
2.29	1.921E+05	21.0
2.61	1.921E+05	21.0
2.89	1.921E+05	21.0
3.17	1.921E+05	21.0
3.46	1.921E+05	21.0
3.75	1.921E+05	21.0
4.03	1.921E+05	21.0
4.34	1.921E+05	21.0
4.63	1.921E+05	21.0
4.91	1.921E+05	21.0
5.20	1.921E+05	21.0
5.48	1.921E+05	21.0
5.79	1.921E+05	21.0
6.08	1.921E+05	21.0
6.37	1.921E+05	21.0
6.65	1.921E+05	21.0
6.94	1.921E+05	21.0
7.25	1.921E+05	21.0
7.54	1.921E+05	21.0
7.82	1.921E+05	21.0
8.13	1.922E+05	21.0
8.42	1.921E+05	21.0
8.70	1.921E+05	21.0
9.00	1.921E+05	21.0
9.28	1.921E+05	21.0
9.57	1.921E+05	21.0
9.88	1.921E+05	21.0
10.16	1.921E+05	21.0
10.44	1.921E+05	21.0
10.76	1.921E+05	21.0
11.04	1.921E+05	21.0
11.32	1.921E+05	21.0
11.62	1.921E+05	21.0
11.90	1.921E+05	21.0
12.21	1.921E+05	21.0
12.49	1.921E+05	21.0
12.78	1.921E+05	21.0
13.09	1.922E+05	21.0
13.38	1.921E+05	21.0
13.69	1.922E+05	21.0
14.00	1.922E+05	21.0
14.29	1.922E+05	21.0
14.61	1.923E+05	21.0
14.89	1.923E+05	21.0
15.20	1.923E+05	21.0
15.52	1.924E+05	21.0
15.80	1.925E+05	21.0
16.09	1.926E+05	21.0
16.40	1.928E+05	21.0
16.69	1.929E+05	21.0
17.04	1.931E+05	21.0
17.32	1.932E+05	21.0
17.64	1.935E+05	21.0
17.95	1.937E+05	21.0
18.23	1.939E+05	21.0
18.52	1.942E+05	21.0
18.83	1.946E+05	21.0
19.15	1.948E+05	21.0
19.44	1.952E+05	21.0
19.75	1.956E+05	21.0
20.07	1.959E+05	21.0
20.38	1.963E+05	21.0
20.69	1.967E+05	21.0
21.00	1.972E+05	21.0
21.29	1.976E+05	21.0
21.58	1.980E+05	21.0
21.86	1.984E+05	21.0
22.16	1.988E+05	21.0
22.47	1.993E+05	21.0
22.76	1.997E+05	21.0
23.07	2.002E+05	21.0
23.38	2.007E+05	21.0
23.70	2.011E+05	21.0
24.01	2.016E+05	21.0
24.32	2.021E+05	21.0
24.64	2.026E+05	21.0
24.95	2.031E+05	21.0
25.26	2.036E+05	21.0
25.58	2.040E+05	21.0
25.89	2.045E+05	21.0
26.21	2.050E+05	21.0
26.52	2.055E+05	21.0
26.81	2.059E+05	21.0
27.09	2.063E+05	21.0
27.41	2.068E+05	21.0
27.73	2.073E+05	21.0
28.04	2.077E+05	21.0
28.36	2.082E+05	21.0
28.67	2.086E+05	21.0
28.98	2.091E+05	21.0
29.29	2.095E+05	21.0
29.61	2.099E+05	21.0
29.93	2.103E+05	21.0
30.24	2.108E+05	21.0
30.53	2.111E+05	21.0
30.84	2.116E+05	21.0
31.18	2.120E+05	21.0
31.50	2.123E+05	21.0
31.81	2.127E+05	21.0
32.10	2.130E+05	21.0
32.42	2.134E+05	21.0
32.71	2.138E+05	21.0
32.99	2.141E+05	21.0
33.28	2.144E+05	21.0
33.59	2.147E+05	21.0
33.87	2.150E+05	21.0
34.16	2.153E+05	21.0
34.47	2.156E+05	21.0
34.79	2.159E+05	21.0
35.08	2.162E+05	21.0
35.39	2.164E+05	21.0
35.68	2.167E+05	21.0
35.99	2.170E+05	21.0
36.28	2.172E+05	21.0
36.59	2.174E+05	21.0
36.88	2.177E+05	21.0
37.19	2.179E+05	21.0
37.47	2.181E+05	21.0
37.77	2.183E+05	21.0
38.08	2.184E+05	21.0
38.39	2.186E+05	21.0
38.71	2.188E+05	21.0
39.02	2.189E+05	21.0
39.33	2.191E+05	21.0
39.64	2.192E+05	21.0
39.93	2.193E+05	21.0
40.24	2.194E+05	21.0
40.54	2.195E+05	21.0
40.85	2.195E+05	21.0
41.17	2.196E+05	21.0
41.45	2.197E+05	21.0
41.77	2.198E+05	21.0
42.08	2.198E+05	21.0
42.36	2.198E+05	21.0
42.67	2.198E+05	21.0
42.99	2.198E+05	21.0
43.33	2.198E+05	21.0
43.62	2.198E+05	21.0
43.90	2.198E+05	21.0
44.18	2.197E+05	21.0
44.50	2.197E+05	21.0
44.78	2.196E+05	21.0
45.07	2.195E+05	21.0
45.35	2.195E+05	21.0
45.67	2.194E+05	21.0
45.98	2.192E+05	21.0
46.27	2.191E+05	21.0
46.55	2.190E+05	21.0
46.87	2.189E+05	21.0
47.18	2.187E+05	21.0
47.46	2.186E+05	21.0
47.75	2.184E+05	21.0
48.09	2.183E+05	21.0
48.38	2.181E+05	21.0
48.67	2.179E+05	21.0
48.99	2.177E+05	21.0
49.33	2.175E+05	21.0
49.61	2.173E+05	21.0
49.90	2.171E+05	21.0
50.18	2.169E+05	21.0
50.52	2.166E+05	21.0
50.82	2.164E+05	21.0
