Start time=	2023-06-16 10:32:55.024431
Time (s)	O2 conc. (ppm)
0.47	1.868E+05
1.24	1.868E+05
1.80	1.868E+05
2.36	1.868E+05
2.92	1.868E+05
3.47	1.868E+05
4.03	1.868E+05
4.59	1.868E+05
5.13	1.868E+05
5.68	1.868E+05
6.23	1.868E+05
6.79	1.868E+05
7.35	1.868E+05
7.91	1.868E+05
8.47	1.868E+05
9.03	1.868E+05
9.57	1.868E+05
10.13	1.868E+05
10.68	1.868E+05
11.22	1.868E+05
11.77	1.868E+05
12.33	1.868E+05
12.87	1.868E+05
13.42	1.868E+05
13.98	1.868E+05
14.53	1.868E+05
15.08	1.868E+05
15.63	1.868E+05
16.19	1.868E+05
16.75	1.868E+05
17.31	1.868E+05
17.87	1.868E+05
18.42	1.868E+05
18.98	1.868E+05
19.54	1.868E+05
20.10	1.868E+05
20.64	1.868E+05
21.19	1.868E+05
21.73	1.868E+05
22.28	1.868E+05
22.84	1.868E+05
23.38	1.868E+05
23.94	1.868E+05
24.49	1.868E+05
25.04	1.868E+05
25.58	1.868E+05
26.12	1.868E+05
26.67	1.868E+05
27.22	1.868E+05
27.76	1.868E+05
28.31	1.868E+05
28.85	1.868E+05
29.41	1.868E+05
29.96	1.868E+05
30.52	1.868E+05
31.08	1.868E+05
31.64	1.868E+05
32.18	1.868E+05
32.75	1.868E+05
33.29	1.868E+05
33.84	1.868E+05
34.40	1.869E+05
34.96	1.868E+05
35.50	1.868E+05
36.05	1.869E+05
36.59	1.869E+05
37.14	1.869E+05
37.70	1.868E+05
38.26	1.869E+05
38.82	1.869E+05
39.36	1.869E+05
39.92	1.869E+05
40.48	1.869E+05
41.03	1.870E+05
41.59	1.870E+05
42.14	1.870E+05
42.69	1.871E+05
43.25	1.871E+05
43.80	1.872E+05
44.36	1.872E+05
44.92	1.873E+05
45.47	1.874E+05
46.01	1.875E+05
46.56	1.876E+05
47.10	1.877E+05
47.64	1.877E+05
48.19	1.878E+05
48.73	1.879E+05
49.28	1.880E+05
49.82	1.881E+05
50.37	1.882E+05
50.91	1.884E+05
51.47	1.885E+05
52.03	1.885E+05
52.59	1.887E+05
53.15	1.888E+05
53.70	1.889E+05
54.26	1.890E+05
54.81	1.891E+05
55.35	1.892E+05
55.89	1.893E+05
56.44	1.894E+05
56.98	1.896E+05
57.53	1.897E+05
58.07	1.898E+05
58.62	1.899E+05
59.18	1.900E+05
59.72	1.901E+05
60.28	1.902E+05
60.84	1.904E+05
61.40	1.905E+05
61.96	1.906E+05
62.52	1.907E+05
63.09	1.908E+05
63.65	1.909E+05
64.19	1.911E+05
64.74	1.912E+05
65.28	1.913E+05
65.83	1.914E+05
66.39	1.915E+05
66.93	1.916E+05
67.48	1.917E+05
68.04	1.918E+05
68.60	1.919E+05
69.14	1.920E+05
69.69	1.921E+05
70.23	1.922E+05
70.78	1.922E+05
71.32	1.923E+05
71.87	1.924E+05
72.41	1.926E+05
72.96	1.926E+05
73.50	1.927E+05
74.06	1.928E+05
74.61	1.929E+05
75.15	1.930E+05
75.70	1.930E+05
76.24	1.931E+05
76.80	1.932E+05
77.36	1.932E+05
77.92	1.933E+05
78.47	1.934E+05
79.01	1.935E+05
79.56	1.936E+05
80.10	1.936E+05
80.65	1.937E+05
81.21	1.938E+05
81.77	1.938E+05
82.33	1.938E+05
82.88	1.939E+05
83.44	1.940E+05
83.98	1.940E+05
84.53	1.941E+05
85.07	1.942E+05
85.61	1.942E+05
86.16	1.943E+05
86.71	1.943E+05
87.25	1.944E+05
87.81	1.944E+05
88.36	1.945E+05
88.90	1.945E+05
89.44	1.946E+05
89.99	1.947E+05
90.55	1.947E+05
91.09	1.947E+05
91.64	1.948E+05
92.18	1.948E+05
92.75	1.949E+05
93.29	1.949E+05
93.84	1.950E+05
94.38	1.950E+05
94.93	1.950E+05
95.47	1.951E+05
96.01	1.951E+05
96.56	1.952E+05
97.10	1.952E+05
97.65	1.952E+05
98.19	1.953E+05
98.74	1.953E+05
99.28	1.953E+05
99.83	1.954E+05
100.37	1.954E+05
100.92	1.954E+05
101.46	1.955E+05
102.01	1.955E+05
102.55	1.955E+05
103.09	1.956E+05
103.64	1.956E+05
104.18	1.956E+05
104.73	1.957E+05
105.27	1.957E+05
105.82	1.957E+05
106.36	1.958E+05
106.92	1.958E+05
107.49	1.958E+05
108.03	1.958E+05
108.57	1.958E+05
109.12	1.959E+05
109.66	1.959E+05
110.21	1.959E+05
110.77	1.959E+05
111.31	1.960E+05
111.86	1.960E+05
112.40	1.960E+05
112.95	1.960E+05
113.49	1.961E+05
114.04	1.961E+05
114.60	1.961E+05
115.14	1.961E+05
115.68	1.962E+05
116.23	1.962E+05
116.78	1.962E+05
117.32	1.962E+05
117.87	1.962E+05
118.41	1.963E+05
118.96	1.963E+05
119.50	1.963E+05
120.04	1.963E+05
120.59	1.963E+05
121.13	1.963E+05
121.68	1.964E+05
122.22	1.964E+05
122.77	1.964E+05
123.31	1.964E+05
123.86	1.964E+05
124.40	1.964E+05
124.95	1.965E+05
125.49	1.965E+05
126.03	1.965E+05
126.58	1.965E+05
127.13	1.965E+05
127.67	1.965E+05
128.22	1.966E+05
128.76	1.966E+05
129.31	1.966E+05
129.85	1.966E+05
130.39	1.967E+05
130.94	1.967E+05
131.48	1.967E+05
132.03	1.967E+05
132.57	1.967E+05
133.11	1.967E+05
133.66	1.967E+05
134.22	1.967E+05
134.77	1.968E+05
135.31	1.968E+05
135.86	1.968E+05
136.40	1.968E+05
136.95	1.968E+05
137.51	1.968E+05
138.06	1.969E+05
138.60	1.969E+05
139.15	1.969E+05
139.69	1.969E+05
140.24	1.969E+05
140.78	1.969E+05
141.34	1.969E+05
141.89	1.969E+05
142.45	1.970E+05
142.99	1.970E+05
143.54	1.970E+05
144.08	1.970E+05
144.63	1.970E+05
145.17	1.970E+05
145.72	1.970E+05
146.26	1.970E+05
146.82	1.970E+05
147.38	1.971E+05
147.93	1.971E+05
148.47	1.971E+05
149.03	1.971E+05
149.58	1.971E+05
150.13	1.971E+05
150.68	1.971E+05
151.23	1.971E+05
151.77	1.971E+05
152.32	1.971E+05
152.86	1.971E+05
153.41	1.972E+05
153.95	1.972E+05
154.50	1.972E+05
155.04	1.971E+05
155.59	1.972E+05
156.13	1.972E+05
156.68	1.972E+05
157.22	1.972E+05
157.77	1.972E+05
158.33	1.972E+05
158.89	1.972E+05
159.43	1.972E+05
159.99	1.972E+05
160.54	1.972E+05
161.09	1.972E+05
161.65	1.972E+05
162.19	1.972E+05
162.74	1.972E+05
163.29	1.972E+05
163.84	1.972E+05
164.38	1.972E+05
164.93	1.973E+05
165.47	1.972E+05
166.02	1.972E+05
166.56	1.973E+05
167.11	1.973E+05
167.65	1.973E+05
168.19	1.973E+05
168.74	1.973E+05
169.28	1.973E+05
169.83	1.973E+05
170.39	1.973E+05
170.94	1.973E+05
171.48	1.973E+05
172.03	1.973E+05
172.57	1.973E+05
173.13	1.973E+05
173.68	1.974E+05
174.22	1.973E+05
174.77	1.973E+05
175.31	1.974E+05
175.86	1.973E+05
176.40	1.974E+05
176.95	1.974E+05
177.49	1.974E+05
178.04	1.974E+05
178.58	1.974E+05
179.14	1.974E+05
179.68	1.974E+05
180.23	1.974E+05
180.79	1.974E+05
181.35	1.974E+05
181.90	1.974E+05
182.44	1.974E+05
182.99	1.974E+05
183.53	1.974E+05
184.07	1.974E+05
184.62	1.974E+05
185.18	1.974E+05
185.72	1.975E+05
186.27	1.974E+05
186.82	1.974E+05
187.36	1.974E+05
187.90	1.974E+05
188.45	1.974E+05
188.99	1.975E+05
189.54	1.974E+05
190.10	1.974E+05
190.64	1.975E+05
191.19	1.974E+05
191.75	1.975E+05
192.31	1.974E+05
192.87	1.975E+05
193.42	1.975E+05
193.98	1.974E+05
194.52	1.975E+05
195.07	1.975E+05
195.61	1.975E+05
196.17	1.975E+05
196.71	1.975E+05
197.26	1.975E+05
197.80	1.975E+05
198.37	1.975E+05
198.91	1.975E+05
199.46	1.975E+05
200.00	1.975E+05
200.55	1.975E+05
201.09	1.975E+05
201.63	1.975E+05
202.18	1.975E+05
202.74	1.975E+05
203.29	1.975E+05
203.85	1.975E+05
204.41	1.975E+05
204.95	1.975E+05
205.51	1.975E+05
206.06	1.975E+05
206.60	1.975E+05
207.15	1.975E+05
207.69	1.975E+05
208.24	1.975E+05
208.78	1.975E+05
209.33	1.975E+05
209.87	1.975E+05
210.42	1.975E+05
210.96	1.975E+05
211.51	1.975E+05
212.05	1.975E+05
212.60	1.975E+05
213.14	1.975E+05
213.69	1.975E+05
214.23	1.975E+05
214.78	1.975E+05
215.32	1.975E+05
215.87	1.975E+05
216.41	1.976E+05
216.95	1.975E+05
217.50	1.975E+05
218.05	1.975E+05
218.59	1.975E+05
219.13	1.975E+05
219.68	1.975E+05
220.22	1.976E+05
220.77	1.975E+05
221.31	1.975E+05
221.86	1.976E+05
222.40	1.975E+05
222.95	1.975E+05
223.49	1.976E+05
224.04	1.975E+05
224.60	1.976E+05
225.14	1.976E+05
225.68	1.975E+05
226.23	1.975E+05
226.77	1.976E+05
227.32	1.976E+05
227.87	1.975E+05
228.41	1.976E+05
228.96	1.976E+05
229.50	1.976E+05
230.04	1.976E+05
230.58	1.976E+05
231.13	1.975E+05
231.68	1.976E+05
232.24	1.976E+05
232.80	1.976E+05
233.34	1.976E+05
233.89	1.976E+05
234.43	1.976E+05
234.98	1.976E+05
235.52	1.976E+05
236.07	1.976E+05
236.61	1.976E+05
237.16	1.976E+05
237.72	1.976E+05
238.26	1.976E+05
238.81	1.976E+05
239.37	1.976E+05
239.91	1.976E+05
240.46	1.976E+05
241.00	1.976E+05
241.59	1.976E+05
242.14	1.976E+05
242.68	1.976E+05
243.22	1.976E+05
243.77	1.976E+05
244.31	1.976E+05
245.17	1.976E+05
246.20	1.976E+05
246.78	1.976E+05
247.32	1.976E+05
247.87	1.976E+05
248.41	1.976E+05
248.96	1.976E+05
249.50	1.976E+05
250.04	1.976E+05
250.59	1.976E+05
251.13	1.976E+05
251.68	1.976E+05
252.22	1.976E+05
252.76	1.976E+05
253.31	1.976E+05
254.08	1.976E+05
254.62	1.976E+05
255.17	1.976E+05
255.71	1.976E+05
256.75	1.976E+05
257.29	1.976E+05
257.84	1.976E+05
258.38	1.976E+05
259.24	1.976E+05
260.58	1.976E+05
261.17	1.976E+05
261.72	1.977E+05
262.25	1.976E+05
262.80	1.977E+05
263.34	1.977E+05
263.89	1.976E+05
264.43	1.976E+05
266.00	1.977E+05
267.00	1.976E+05
267.54	1.976E+05
268.27	1.977E+05
268.99	1.976E+05
269.52	1.977E+05
270.47	1.976E+05
271.32	1.977E+05
271.86	1.977E+05
272.40	1.977E+05
273.53	1.977E+05
274.15	1.977E+05
274.75	1.977E+05
275.38	1.977E+05
276.09	1.977E+05
276.65	1.977E+05
277.19	1.977E+05
277.74	1.977E+05
278.30	1.977E+05
278.86	1.977E+05
279.42	1.977E+05
279.97	1.977E+05
280.51	1.977E+05
281.06	1.977E+05
281.60	1.977E+05
308.66	1.977E+05
309.28	1.977E+05
309.85	1.977E+05
310.55	1.977E+05
311.11	1.977E+05
311.70	1.978E+05
312.37	1.977E+05
313.00	1.978E+05
313.60	1.977E+05
314.17	1.977E+05
314.84	1.977E+05
315.38	1.978E+05
315.97	1.978E+05
316.52	1.977E+05
317.06	1.977E+05
317.61	1.978E+05
318.15	1.978E+05
