Time (s)	O2 conc. (ppm)
0.10	1.886E+05
0.60	1.886E+05
1.98	1.886E+05
2.29	1.886E+05
2.57	1.886E+05
2.86	1.886E+05
3.14	1.885E+05
3.42	1.886E+05
3.71	1.886E+05
3.99	1.885E+05
4.28	1.886E+05
4.57	1.885E+05
5.47	1.885E+05
5.76	1.885E+05
6.04	1.885E+05
6.33	1.885E+05
6.61	1.885E+05
6.90	1.885E+05
7.21	1.885E+05
7.50	1.885E+05
7.81	1.885E+05
8.10	1.885E+05
8.38	1.885E+05
8.66	1.885E+05
8.92	1.885E+05
9.23	1.885E+05
9.52	1.885E+05
9.81	1.885E+05
10.09	1.885E+05
10.40	1.885E+05
10.69	1.885E+05
10.97	1.885E+05
11.26	1.885E+05
11.54	1.885E+05
11.83	1.885E+05
12.14	1.885E+05
12.43	1.885E+05
12.71	1.885E+05
13.02	1.885E+05
13.31	1.885E+05
13.59	1.885E+05
13.87	1.885E+05
14.16	1.885E+05
14.44	1.885E+05
14.72	1.885E+05
15.01	1.885E+05
15.33	1.885E+05
15.61	1.886E+05
15.90	1.886E+05
16.18	1.886E+05
16.47	1.886E+05
16.75	1.887E+05
17.04	1.887E+05
17.32	1.887E+05
17.64	1.888E+05
17.93	1.888E+05
18.21	1.889E+05
18.52	1.890E+05
18.81	1.890E+05
19.09	1.891E+05
19.38	1.892E+05
19.69	1.893E+05
19.98	1.895E+05
20.27	1.896E+05
20.55	1.897E+05
20.84	1.898E+05
21.12	1.899E+05
21.41	1.901E+05
21.69	1.902E+05
21.98	1.903E+05
22.27	1.905E+05
22.55	1.907E+05
22.84	1.908E+05
23.13	1.910E+05
23.41	1.912E+05
23.70	1.913E+05
23.99	1.915E+05
24.30	1.917E+05
24.58	1.919E+05
24.87	1.921E+05
25.16	1.923E+05
25.45	1.925E+05
25.74	1.927E+05
26.05	1.929E+05
26.36	1.932E+05
26.68	1.934E+05
26.96	1.936E+05
27.27	1.938E+05
27.56	1.941E+05
27.85	1.944E+05
28.14	1.946E+05
28.43	1.948E+05
28.71	1.950E+05
29.03	1.953E+05
29.31	1.955E+05
29.62	1.958E+05
29.91	1.960E+05
30.22	1.963E+05
30.53	1.965E+05
30.82	1.968E+05
31.11	1.971E+05
31.42	1.973E+05
31.73	1.976E+05
32.02	1.979E+05
32.31	1.981E+05
32.62	1.984E+05
32.93	1.986E+05
33.22	1.989E+05
33.51	1.992E+05
33.82	1.994E+05
34.11	1.997E+05
34.42	2.000E+05
34.73	2.002E+05
35.05	2.005E+05
35.36	2.008E+05
35.67	2.010E+05
35.97	2.013E+05
36.28	2.016E+05
36.59	2.019E+05
36.90	2.022E+05
37.21	2.024E+05
37.53	2.026E+05
37.84	2.029E+05
38.15	2.032E+05
38.47	2.035E+05
38.79	2.037E+05
39.10	2.040E+05
39.41	2.042E+05
39.72	2.046E+05
40.04	2.048E+05
40.35	2.050E+05
40.66	2.053E+05
41.00	2.056E+05
41.32	2.058E+05
41.61	2.061E+05
41.90	2.063E+05
42.21	2.066E+05
42.52	2.068E+05
42.83	2.070E+05
43.15	2.073E+05
43.46	2.075E+05
43.78	2.078E+05
44.09	2.080E+05
44.37	2.082E+05
44.69	2.084E+05
45.00	2.087E+05
45.31	2.089E+05
45.63	2.092E+05
45.94	2.094E+05
46.28	2.096E+05
46.60	2.099E+05
46.91	2.101E+05
47.22	2.103E+05
47.53	2.105E+05
47.85	2.107E+05
48.16	2.109E+05
48.47	2.111E+05
48.79	2.113E+05
49.11	2.115E+05
49.42	2.117E+05
49.73	2.120E+05
50.04	2.122E+05
50.36	2.123E+05
50.67	2.125E+05
50.98	2.127E+05
51.29	2.129E+05
51.61	2.130E+05
51.93	2.132E+05
52.24	2.134E+05
52.55	2.136E+05
52.87	2.138E+05
53.18	2.139E+05
53.49	2.140E+05
53.81	2.142E+05
54.12	2.144E+05
54.43	2.145E+05
54.77	2.147E+05
55.09	2.148E+05
55.40	2.150E+05
55.71	2.151E+05
56.03	2.153E+05
