Time (s)	O2 conc. (ppm)
0.10	1.902E+05	21.0
0.66	1.902E+05	21.0
2.93	1.902E+05	21.0
3.24	1.902E+05	21.0
3.52	1.902E+05	21.0
3.81	1.902E+05	21.0
4.09	1.902E+05	21.0
4.43	1.902E+05	21.0
4.72	1.902E+05	21.0
5.00	1.902E+05	21.0
5.29	1.902E+05	21.0
5.58	1.902E+05	21.0
5.86	1.902E+05	21.0
6.15	1.902E+05	21.0
6.43	1.902E+05	21.0
6.74	1.902E+05	21.0
7.03	1.902E+05	21.0
7.31	1.902E+05	21.0
7.59	1.902E+05	21.0
7.91	1.902E+05	21.0
8.23	1.902E+05	21.0
8.51	1.902E+05	21.0
8.79	1.902E+05	21.0
9.10	1.902E+05	21.0
9.39	1.902E+05	21.0
9.67	1.902E+05	21.0
9.95	1.902E+05	21.0
10.24	1.902E+05	21.0
10.52	1.902E+05	21.0
10.81	1.902E+05	21.0
11.10	1.902E+05	21.0
11.41	1.902E+05	21.0
11.69	1.902E+05	21.0
12.00	1.902E+05	21.0
12.29	1.902E+05	21.0
12.62	1.902E+05	21.0
12.91	1.902E+05	21.0
13.19	1.902E+05	21.0
13.48	1.902E+05	21.0
13.77	1.902E+05	21.0
14.08	1.902E+05	21.0
14.36	1.902E+05	21.0
14.67	1.902E+05	21.0
14.99	1.902E+05	21.0
15.30	1.902E+05	21.0
15.61	1.903E+05	21.0
15.89	1.903E+05	21.0
16.19	1.903E+05	21.0
16.52	1.903E+05	21.0
16.81	1.904E+05	21.0
17.09	1.904E+05	21.0
17.40	1.905E+05	21.0
17.69	1.905E+05	21.0
17.98	1.905E+05	21.0
18.29	1.906E+05	21.0
18.60	1.906E+05	21.0
18.89	1.907E+05	21.0
19.17	1.908E+05	21.0
19.48	1.909E+05	21.0
19.80	1.909E+05	21.0
20.11	1.910E+05	21.0
20.42	1.911E+05	21.0
20.73	1.912E+05	21.0
21.04	1.913E+05	21.0
21.34	1.914E+05	21.0
21.62	1.916E+05	21.0
21.91	1.917E+05	21.0
22.22	1.918E+05	21.0
22.50	1.920E+05	21.0
22.79	1.921E+05	21.0
23.08	1.922E+05	21.0
23.39	1.924E+05	21.0
23.70	1.926E+05	21.0
23.99	1.928E+05	21.0
24.28	1.929E+05	21.0
24.59	1.931E+05	21.0
24.91	1.933E+05	21.0
25.22	1.935E+05	21.0
25.56	1.937E+05	21.0
25.87	1.938E+05	21.0
26.21	1.941E+05	21.0
26.53	1.943E+05	21.0
26.82	1.945E+05	21.0
27.13	1.947E+05	21.0
27.47	1.949E+05	21.0
27.78	1.951E+05	21.0
28.10	1.954E+05	21.0
28.41	1.956E+05	21.0
28.72	1.958E+05	21.0
29.04	1.960E+05	21.0
29.35	1.962E+05	21.0
29.66	1.965E+05	21.0
29.98	1.967E+05	21.0
30.31	1.970E+05	21.0
30.63	1.972E+05	21.0
30.94	1.974E+05	21.0
31.25	1.977E+05	21.0
31.56	1.979E+05	21.0
31.85	1.981E+05	21.0
32.17	1.983E+05	21.0
32.48	1.986E+05	21.0
