Time (s)	O2 conc. (ppm)
0.11	1.899E+05	21.0
0.67	1.899E+05	18.99
2.96	1.899E+05	18.99
3.28	1.899E+05	18.99
3.56	1.899E+05	18.99
3.85	1.899E+05	18.99
4.13	1.899E+05	18.99
4.41	1.899E+05	18.99
4.70	1.898E+05	18.99
4.98	1.898E+05	18.98
5.27	1.898E+05	18.98
5.58	1.898E+05	18.98
5.84	1.898E+05	18.98
6.13	1.898E+05	18.98
6.41	1.898E+05	18.98
6.70	1.898E+05	18.98
6.98	1.898E+05	18.98
7.27	1.898E+05	18.98
7.55	1.898E+05	18.98
7.83	1.898E+05	18.98
8.12	1.898E+05	18.98
8.41	1.897E+05	18.98
8.70	1.898E+05	18.97
8.98	1.898E+05	18.98
9.27	1.898E+05	18.98
9.55	1.898E+05	18.98
9.84	1.898E+05	18.98
10.15	1.897E+05	18.98
10.44	1.897E+05	18.97
10.72	1.897E+05	18.97
11.01	1.898E+05	18.97
11.30	1.898E+05	18.98
11.58	1.897E+05	18.98
11.87	1.897E+05	18.97
12.15	1.897E+05	18.97
12.44	1.897E+05	18.97
12.75	1.897E+05	18.97
13.03	1.897E+05	18.97
13.32	1.897E+05	18.97
13.61	1.897E+05	18.97
13.89	1.897E+05	18.97
14.18	1.897E+05	18.97
14.46	1.897E+05	18.97
14.74	1.897E+05	18.97
15.03	1.897E+05	18.97
15.31	1.897E+05	18.97
15.62	1.898E+05	18.97
15.91	1.898E+05	18.98
16.20	1.898E+05	18.98
16.49	1.898E+05	18.98
16.77	1.899E+05	18.98
17.08	1.899E+05	18.99
17.39	1.899E+05	18.99
17.68	1.900E+05	18.99
17.99	1.901E+05	19.0
18.30	1.901E+05	19.01
18.62	1.902E+05	19.01
18.91	1.903E+05	19.02
19.20	1.904E+05	19.03
19.51	1.905E+05	19.04
19.80	1.906E+05	19.05
20.08	1.907E+05	19.06
20.37	1.908E+05	19.07
20.71	1.909E+05	19.08
20.99	1.911E+05	19.09
21.28	1.913E+05	19.11
21.57	1.914E+05	19.13
21.89	1.916E+05	19.14
22.17	1.918E+05	19.16
22.46	1.920E+05	19.18
22.74	1.921E+05	19.2
23.06	1.923E+05	19.21
23.34	1.925E+05	19.23
23.63	1.927E+05	19.25
23.91	1.929E+05	19.27
24.23	1.932E+05	19.29
24.52	1.934E+05	19.32
24.80	1.936E+05	19.34
25.09	1.938E+05	19.36
25.40	1.941E+05	19.38
25.68	1.944E+05	19.41
25.97	1.946E+05	19.44
26.26	1.948E+05	19.46
26.58	1.951E+05	19.48
26.86	1.954E+05	19.51
27.18	1.956E+05	19.54
27.49	1.959E+05	19.56
27.80	1.962E+05	19.59
28.11	1.965E+05	19.62
28.40	1.968E+05	19.65
28.74	1.971E+05	19.68
29.05	1.974E+05	19.71
29.34	1.976E+05	19.74
29.63	1.979E+05	19.76
29.92	1.982E+05	19.79
30.23	1.984E+05	19.82
30.54	1.987E+05	19.84
30.86	1.991E+05	19.87
31.17	1.993E+05	19.91
31.48	1.996E+05	19.93
31.80	1.999E+05	19.96
32.14	2.003E+05	19.99
32.42	2.005E+05	20.03
32.73	2.008E+05	20.05
33.02	2.011E+05	20.08
33.33	2.013E+05	20.11
33.65	2.016E+05	20.13
33.96	2.019E+05	20.16
34.25	2.022E+05	20.19
34.54	2.024E+05	20.22
34.82	2.027E+05	20.24
35.16	2.030E+05	20.27
35.48	2.032E+05	20.3
35.79	2.035E+05	20.32
36.10	2.038E+05	20.35
36.41	2.041E+05	20.38
36.73	2.044E+05	20.41
37.05	2.046E+05	20.44
37.36	2.049E+05	20.46
37.67	2.051E+05	20.49
37.99	2.053E+05	20.51
38.30	2.056E+05	20.53
38.61	2.059E+05	20.56
38.93	2.062E+05	20.59
39.24	2.063E+05	20.62
39.55	2.066E+05	20.63
39.88	2.068E+05	20.66
40.19	2.070E+05	20.68
40.50	2.073E+05	20.7
40.82	2.075E+05	20.73
41.12	2.077E+05	20.75
41.44	2.079E+05	20.77
41.75	2.082E+05	20.79
42.07	2.084E+05	20.82
42.41	2.086E+05	20.84
42.72	2.088E+05	20.86
43.01	2.089E+05	20.88
43.32	2.092E+05	20.89
43.63	2.094E+05	20.92
43.95	2.096E+05	20.94
44.26	2.097E+05	20.96
44.57	2.099E+05	20.97
44.87	2.101E+05	20.99
45.18	2.102E+05	21.01
45.49	2.104E+05	21.02
45.78	2.105E+05	21.04
46.06	2.107E+05	21.05
46.40	2.108E+05	21.07
46.69	2.110E+05	21.08
46.98	2.111E+05	21.1
47.26	2.112E+05	21.11
47.58	2.114E+05	21.12
47.92	2.115E+05	21.14
48.24	2.117E+05	21.15
48.55	2.118E+05	21.17
48.86	2.119E+05	21.18
49.15	2.120E+05	21.19
49.46	2.121E+05	21.2
49.77	2.122E+05	21.21
50.10	2.123E+05	21.22
50.43	2.123E+05	21.23
50.74	2.125E+05	21.23
51.06	2.125E+05	21.25
51.37	2.126E+05	21.25
51.68	2.127E+05	21.26
51.99	2.127E+05	21.27
52.31	2.128E+05	21.27
52.63	2.129E+05	21.28
52.94	2.129E+05	21.29
53.25	2.130E+05	21.29
53.56	2.130E+05	21.3
53.87	2.130E+05	21.3
54.18	2.131E+05	21.3
54.50	2.131E+05	21.31
54.81	2.131E+05	21.31
55.13	2.131E+05	21.31
55.44	2.131E+05	21.31
55.75	2.131E+05	21.31
56.06	2.131E+05	21.31
56.37	2.131E+05	21.31
56.68	2.131E+05	21.31
57.00	2.131E+05	21.31
57.31	2.131E+05	21.31
57.65	2.130E+05	21.31
57.96	2.130E+05	21.3
58.27	2.130E+05	21.3
58.58	2.130E+05	21.3
58.90	2.129E+05	21.3
59.21	2.129E+05	21.29
59.52	2.128E+05	21.29
59.86	2.128E+05	21.28
60.17	2.127E+05	21.28
60.49	2.127E+05	21.27
60.80	2.126E+05	21.27
61.12	2.125E+05	21.26
61.46	2.124E+05	21.25
61.77	2.123E+05	21.24
62.08	2.123E+05	21.23
62.42	2.122E+05	21.23
62.73	2.121E+05	21.22
63.05	2.120E+05	21.21
63.36	2.119E+05	21.2
63.67	2.118E+05	21.19
64.01	2.117E+05	21.18
64.33	2.116E+05	21.17
64.64	2.115E+05	21.16
64.95	2.114E+05	21.15
65.29	2.113E+05	21.14
65.60	2.112E+05	21.13
65.92	2.111E+05	21.12
66.23	2.110E+05	21.11
66.55	2.108E+05	21.1
66.86	2.107E+05	21.08
67.17	2.106E+05	21.07
67.51	2.105E+05	21.06
67.88	2.103E+05	21.05
68.21	2.102E+05	21.03
68.53	2.101E+05	21.02
68.88	2.100E+05	21.01
69.19	2.098E+05	21.0
69.53	2.097E+05	20.98
69.84	2.095E+05	20.97
70.18	2.094E+05	20.95
70.52	2.093E+05	20.94
70.83	2.092E+05	20.93
71.15	2.090E+05	20.92
71.49	2.089E+05	20.9
71.83	2.087E+05	20.89
72.14	2.086E+05	20.87
72.48	2.085E+05	20.86
72.82	2.084E+05	20.85
73.13	2.083E+05	20.84
73.47	2.082E+05	20.83
73.80	2.080E+05	20.82
74.14	2.078E+05	20.8
74.50	2.077E+05	20.78
74.81	2.076E+05	20.77
75.15	2.075E+05	20.76
75.49	2.073E+05	20.75
75.81	2.072E+05	20.73
76.15	2.071E+05	20.72
76.49	2.070E+05	20.71
76.83	2.068E+05	20.7
77.17	2.067E+05	20.68
77.49	2.066E+05	20.67
77.82	2.065E+05	20.66
78.17	2.064E+05	20.65
78.48	2.063E+05	20.64
78.82	2.062E+05	20.63
79.13	2.061E+05	20.62
79.47	2.059E+05	20.61
79.79	2.058E+05	20.59
80.13	2.057E+05	20.58
80.47	2.056E+05	20.57
80.78	2.055E+05	20.56
81.12	2.054E+05	20.55
81.44	2.053E+05	20.54
81.80	2.052E+05	20.53
82.14	2.051E+05	20.52
82.48	2.050E+05	20.51
82.82	2.049E+05	20.5
83.13	2.049E+05	20.49
83.47	2.048E+05	20.49
83.84	2.047E+05	20.48
84.16	2.046E+05	20.47
84.50	2.045E+05	20.46
84.84	2.045E+05	20.45
85.15	2.044E+05	20.45
85.49	2.043E+05	20.44
85.80	2.042E+05	20.43
86.17	2.042E+05	20.42
86.51	2.041E+05	20.42
86.83	2.040E+05	20.41
87.16	2.040E+05	20.4
87.50	2.039E+05	20.4
87.84	2.039E+05	20.39
88.21	2.038E+05	20.39
88.52	2.038E+05	20.38
88.86	2.037E+05	20.38
89.20	2.037E+05	20.37
89.54	2.036E+05	20.37
89.88	2.036E+05	20.36
90.22	2.035E+05	20.36
90.58	2.035E+05	20.35
90.92	2.035E+05	20.35
91.26	2.035E+05	20.35
91.60	2.034E+05	20.35
91.91	2.034E+05	20.34
92.25	2.034E+05	20.34
92.59	2.034E+05	20.34
92.96	2.034E+05	20.34
93.30	2.033E+05	20.34
93.63	2.033E+05	20.33
93.97	2.033E+05	20.33
94.31	2.033E+05	20.33
94.63	2.033E+05	20.33
94.97	2.033E+05	20.33
95.31	2.033E+05	20.33
95.64	2.033E+05	20.33
95.98	2.033E+05	20.33
96.32	2.033E+05	20.33
96.65	2.033E+05	20.33
97.00	2.033E+05	20.33
97.34	2.033E+05	20.33
97.67	2.033E+05	20.33
98.01	2.033E+05	20.33
98.35	2.034E+05	20.33
98.69	2.033E+05	20.34
99.02	2.034E+05	20.33
99.36	2.034E+05	20.34
