Time (s)	O2 conc. (ppm)
0.10	1.890E+05	21.0
0.63	1.890E+05	18.9
1.98	1.890E+05	18.9
2.29	1.890E+05	18.9
2.60	1.890E+05	18.9
2.88	1.890E+05	18.9
3.17	1.890E+05	18.9
3.45	1.890E+05	18.9
3.74	1.890E+05	18.9
4.02	1.890E+05	18.9
4.31	1.890E+05	18.9
4.60	1.890E+05	18.9
4.88	1.890E+05	18.9
5.16	1.890E+05	18.9
5.45	1.890E+05	18.9
5.73	1.890E+05	18.9
6.04	1.890E+05	18.9
6.33	1.890E+05	18.9
6.61	1.890E+05	18.9
6.90	1.890E+05	18.9
7.19	1.890E+05	18.9
7.47	1.890E+05	18.9
7.76	1.890E+05	18.9
8.04	1.890E+05	18.9
8.35	1.890E+05	18.9
8.64	1.890E+05	18.9
8.92	1.890E+05	18.9
9.20	1.890E+05	18.9
9.52	1.890E+05	18.9
9.81	1.890E+05	18.9
10.09	1.890E+05	18.9
10.38	1.890E+05	18.9
10.66	1.890E+05	18.9
10.94	1.890E+05	18.9
11.23	1.890E+05	18.9
11.51	1.890E+05	18.9
11.79	1.890E+05	18.9
12.11	1.890E+05	18.9
12.43	1.890E+05	18.9
12.71	1.890E+05	18.9
12.99	1.890E+05	18.9
13.28	1.890E+05	18.9
15.94	1.891E+05	18.9
16.22	1.891E+05	18.91
16.53	1.891E+05	18.91
16.85	1.892E+05	18.91
17.15	1.892E+05	18.92
17.47	1.893E+05	18.92
17.75	1.894E+05	18.93
18.07	1.894E+05	18.94
18.38	1.895E+05	18.94
18.69	1.896E+05	18.95
18.98	1.897E+05	18.96
19.26	1.897E+05	18.97
19.57	1.899E+05	18.97
19.87	1.900E+05	18.99
20.15	1.900E+05	19.0
20.47	1.902E+05	19.0
20.78	1.903E+05	19.02
21.06	1.904E+05	19.03
21.35	1.906E+05	19.04
21.64	1.907E+05	19.06
21.95	1.908E+05	19.07
22.23	1.910E+05	19.08
22.53	1.911E+05	19.1
22.81	1.913E+05	19.11
23.10	1.914E+05	19.13
23.38	1.916E+05	19.14
23.67	1.917E+05	19.16
