Start time=	2023-06-27 17:19:42.256286
Time (s)	O2 conc. (ppm)
0.47	4.279E+04	5.0
1.43	4.260E+04	5.0
2.60	4.237E+04	5.0
3.83	4.209E+04	5.0
5.17	4.184E+04	5.0
6.65	4.159E+04	5.0
8.11	4.132E+04	5.0
9.76	4.101E+04	5.0
10.80	4.082E+04	5.0
11.84	4.066E+04	5.0
12.89	4.050E+04	5.0
13.97	4.031E+04	5.0
15.09	4.015E+04	5.0
16.14	3.999E+04	5.0
17.19	3.983E+04	5.0
18.22	3.968E+04	5.0
19.28	3.954E+04	5.0
20.42	3.941E+04	5.0
21.61	3.923E+04	5.0
22.81	3.907E+04	5.0
24.15	3.895E+04	5.0
25.32	3.879E+04	5.0
26.38	3.869E+04	5.0
27.42	3.856E+04	5.0
28.49	3.848E+04	5.0
29.57	3.838E+04	5.0
30.63	3.828E+04	5.0
31.72	3.820E+04	5.0
32.78	3.815E+04	5.0
33.81	3.808E+04	5.0
34.87	3.803E+04	5.0
35.90	3.800E+04	5.0
37.02	3.795E+04	5.0
38.16	3.792E+04	5.0
39.23	3.790E+04	5.0
40.30	3.790E+04	5.0
41.39	3.790E+04	5.0
42.66	3.790E+04	5.0
43.70	3.792E+04	5.0
44.73	3.795E+04	5.0
45.77	3.798E+04	5.0
46.81	3.803E+04	5.0
47.85	3.808E+04	5.0
49.33	3.813E+04	5.0
51.00	3.828E+04	5.0
52.04	3.836E+04	5.0
53.09	3.843E+04	5.0
54.14	3.851E+04	5.0
55.17	3.861E+04	5.0
56.20	3.871E+04	5.0
57.22	3.882E+04	5.0
58.29	3.895E+04	5.0
59.38	3.907E+04	5.0
65.09	3.981E+04	5.0
66.11	3.994E+04	5.0
67.16	4.010E+04	5.0
68.32	4.026E+04	5.0
69.36	4.042E+04	5.0
70.38	4.058E+04	5.0
71.42	4.074E+04	5.0
72.46	4.091E+04	5.0
73.50	4.107E+04	5.0
74.55	4.123E+04	5.0
75.61	4.143E+04	5.0
76.65	4.159E+04	5.0
77.67	4.173E+04	5.0
78.78	4.192E+04	5.0
79.86	4.209E+04	5.0
80.99	4.226E+04	5.0
82.04	4.246E+04	5.0
83.30	4.265E+04	5.0
84.40	4.282E+04	5.0
85.56	4.302E+04	5.0
86.91	4.325E+04	5.0
88.02	4.342E+04	5.0
89.13	4.360E+04	5.0
90.19	4.377E+04	5.0
91.20	4.392E+04	5.0
92.21	4.406E+04	5.0
93.24	4.421E+04	5.0
94.30	4.439E+04	5.0
95.32	4.453E+04	5.0
96.34	4.468E+04	5.0
97.36	4.483E+04	5.0
98.43	4.498E+04	5.0
99.47	4.513E+04	5.0
100.52	4.525E+04	5.0
101.73	4.540E+04	5.0
102.76	4.552E+04	5.0
103.77	4.567E+04	5.0
104.82	4.579E+04	5.0
105.93	4.591E+04	5.0
107.02	4.604E+04	5.0
108.07	4.616E+04	5.0
109.11	4.628E+04	5.0
110.29	4.640E+04	5.0
111.52	4.653E+04	5.0
112.91	4.665E+04	5.0
114.00	4.678E+04	5.0
115.27	4.688E+04	5.0
116.30	4.698E+04	5.0
117.32	4.707E+04	5.0
118.34	4.717E+04	5.0
119.42	4.726E+04	5.0
120.46	4.732E+04	5.0
121.48	4.742E+04	5.0
122.50	4.748E+04	5.0
123.53	4.754E+04	5.0
124.55	4.762E+04	5.0
125.59	4.769E+04	5.0
126.67	4.776E+04	5.0
127.74	4.781E+04	5.0
128.86	4.788E+04	5.0
130.14	4.794E+04	5.0
131.17	4.800E+04	5.0
132.20	4.805E+04	5.0
133.24	4.810E+04	5.0
134.63	4.816E+04	5.0
135.73	4.819E+04	5.0
136.97	4.826E+04	5.0
138.01	4.829E+04	5.0
139.04	4.832E+04	5.0
