Start time=	2023-06-27 21:27:31.370903
Time (s)	O2 conc. (ppm)	O2 setpoint (ppm)
0.45	4.498E+04	10000.0
1.41	4.495E+04	10000.0
2.43	4.492E+04	10000.0
3.47	4.492E+04	10000.0
4.48	4.489E+04	10000.0
5.48	4.489E+04	10000.0
12.79	4.489E+04	10000.0
13.82	4.489E+04	10000.0
14.83	4.489E+04	10000.0
15.84	4.489E+04	10000.0
16.85	4.489E+04	10000.0
17.94	4.489E+04	10000.0
19.11	4.489E+04	10000.0
20.13	4.489E+04	10000.0
21.15	4.489E+04	10000.0
0.50	4.345E+04	50000.0
1.45	4.342E+04	50000.0
2.60	4.345E+04	50000.0
3.84	4.345E+04	50000.0
4.85	4.342E+04	50000.0
5.87	4.342E+04	50000.0
6.89	4.342E+04	50000.0
7.92	4.342E+04	50000.0
8.95	4.342E+04	50000.0
9.99	4.342E+04	50000.0
11.29	4.342E+04	50000.0
12.39	4.342E+04	50000.0
13.44	4.342E+04	50000.0
14.52	4.342E+04	50000.0
15.63	4.342E+04	50000.0
16.70	4.342E+04	50000.0
17.78	4.342E+04	50000.0
18.80	4.342E+04	50000.0
19.82	4.342E+04	50000.0
20.83	4.342E+04	50000.0
21.97	4.342E+04	50000.0
23.02	4.342E+04	50000.0
24.06	4.342E+04	50000.0
25.40	4.340E+04	50000.0
26.43	4.337E+04	50000.0
27.46	4.334E+04	50000.0
28.46	4.328E+04	50000.0
29.50	4.325E+04	50000.0
30.57	4.319E+04	50000.0
31.68	4.311E+04	50000.0
32.72	4.302E+04	50000.0
33.74	4.294E+04	50000.0
34.77	4.285E+04	50000.0
35.94	4.274E+04	50000.0
37.02	4.262E+04	50000.0
38.14	4.248E+04	50000.0
39.19	4.237E+04	50000.0
40.22	4.226E+04	50000.0
41.26	4.215E+04	50000.0
42.29	4.203E+04	50000.0
43.31	4.192E+04	50000.0
44.35	4.181E+04	50000.0
45.37	4.170E+04	50000.0
46.43	4.156E+04	50000.0
47.49	4.145E+04	50000.0
48.58	4.137E+04	50000.0
49.66	4.126E+04	50000.0
50.70	4.115E+04	50000.0
51.71	4.107E+04	50000.0
52.81	4.096E+04	50000.0
53.82	4.088E+04	50000.0
0.58	4.064E+04	50000.0
