Time (s)	O2 conc. (ppm)
0.10	9.593E+04	10.0
0.66	9.594E+04	10.0
2.95	9.594E+04	10.0
3.27	9.649E+04	10.0
3.55	9.713E+04	10.0
3.87	9.846E+04	10.0
4.18	1.005E+05	10.0
4.50	1.034E+05	10.0
4.78	1.066E+05	10.0
5.07	1.102E+05	10.0
5.36	1.143E+05	10.0
5.65	1.184E+05	10.0
5.93	1.228E+05	10.0
6.22	1.272E+05	10.0
6.51	1.315E+05	10.0
6.79	1.357E+05	10.0
7.10	1.401E+05	10.0
7.37	1.437E+05	10.0
7.65	1.475E+05	10.0
7.96	1.514E+05	10.0
8.25	1.549E+05	10.0
8.54	1.582E+05	10.0
8.83	1.612E+05	10.0
9.11	1.641E+05	10.0
9.37	1.666E+05	10.0
9.65	1.692E+05	10.0
9.94	1.715E+05	10.0
10.22	1.738E+05	10.0
10.51	1.759E+05	10.0
10.80	1.779E+05	10.0
11.06	1.796E+05	10.0
11.35	1.813E+05	10.0
11.63	1.829E+05	10.0
11.92	1.844E+05	10.0
12.20	1.858E+05	10.0
12.49	1.871E+05	10.0
12.77	1.884E+05	10.0
13.06	1.895E+05	10.0
13.35	1.906E+05	10.0
13.67	1.917E+05	10.0
13.95	1.926E+05	10.0
14.24	1.934E+05	10.0
14.53	1.942E+05	10.0
14.81	1.949E+05	10.0
15.10	1.956E+05	10.0
15.39	1.962E+05	10.0
15.67	1.967E+05	10.0
15.96	1.972E+05	10.0
16.25	1.977E+05	10.0
16.54	1.981E+05	10.0
16.82	1.984E+05	10.0
17.11	1.988E+05	10.0
17.39	1.991E+05	10.0
17.68	1.993E+05	10.0
17.96	1.995E+05	10.0
18.25	1.997E+05	10.0
18.54	1.999E+05	10.0
18.83	2.000E+05	10.0
19.14	2.001E+05	10.0
19.43	2.002E+05	10.0
19.71	2.003E+05	10.0
20.00	2.003E+05	10.0
20.28	2.003E+05	10.0
20.57	2.003E+05	10.0
20.85	2.003E+05	10.0
21.13	2.003E+05	10.0
21.43	2.003E+05	10.0
21.71	2.002E+05	10.0
21.99	2.002E+05	10.0
22.28	2.001E+05	10.0
22.57	2.000E+05	10.0
22.85	2.000E+05	10.0
23.13	1.999E+05	10.0
23.42	1.998E+05	10.0
23.71	1.998E+05	10.0
24.00	1.997E+05	10.0
24.28	1.995E+05	10.0
24.57	1.994E+05	10.0
24.85	1.993E+05	10.0
25.14	1.992E+05	10.0
25.43	1.991E+05	10.0
25.72	1.990E+05	10.0
26.00	1.989E+05	10.0
26.29	1.987E+05	10.0
26.58	1.986E+05	10.0
26.87	1.985E+05	10.0
27.15	1.984E+05	10.0
27.44	1.982E+05	10.0
27.72	1.981E+05	10.0
28.01	1.979E+05	10.0
28.32	1.977E+05	10.0
28.61	1.976E+05	10.0
28.89	1.975E+05	10.0
29.18	1.972E+05	10.0
29.50	1.970E+05	10.0
29.78	1.968E+05	10.0
30.09	1.966E+05	10.0
30.38	1.964E+05	10.0
30.67	1.961E+05	10.0
30.95	1.959E+05	10.0
31.26	1.957E+05	10.0
31.55	1.954E+05	10.0
31.84	1.951E+05	10.0
32.13	1.949E+05	10.0
32.41	1.946E+05	10.0
32.70	1.943E+05	10.0
32.98	1.940E+05	10.0
33.27	1.937E+05	10.0
33.58	1.933E+05	10.0
33.90	1.929E+05	10.0
34.18	1.926E+05	10.0
34.47	1.922E+05	10.0
34.76	1.919E+05	10.0
35.05	1.915E+05	10.0
35.33	1.911E+05	10.0
35.65	1.907E+05	10.0
35.96	1.902E+05	10.0
36.24	1.897E+05	10.0
36.56	1.892E+05	10.0
36.87	1.887E+05	10.0
37.16	1.883E+05	10.0
37.47	1.878E+05	10.0
37.79	1.872E+05	10.0
38.10	1.867E+05	10.0
38.41	1.862E+05	10.0
38.72	1.856E+05	10.0
39.04	1.850E+05	10.0
39.35	1.844E+05	10.0
39.64	1.839E+05	10.0
39.95	1.833E+05	10.0
40.27	1.827E+05	10.0
